# (k1,k2,k3) at z_eff=1.4829819053951014 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  Minv(k1) Minv(k2) Minv(k3)
2.263156107678879810e-03 1.772030232259609508e-03 1.656722790022031530e-03
1.778862330908416315e-03 1.580538258472727851e-03 7.083596054323663353e-04
2.005492732257676582e-03 6.838908132877864407e-04 6.093427411509601786e-04
7.098776974528517997e-04 6.337773885927675292e-04 5.873848849529449481e-04
1.575849360776420500e-03 1.575849360776420500e-03 4.164876564369081389e-04
1.745073257557015842e-03 5.945933428904641004e-04 3.890845001974395020e-04
6.811939665814315068e-04 5.957425440693476420e-04 3.696335036385252153e-04
2.004441190635218584e-03 3.780766350899063136e-04 3.545333366002234175e-04
6.518040958391897429e-04 3.797738317711206457e-04 3.535563799978476830e-04
3.863624670784993704e-04 3.636598567156518799e-04 3.473491546276494951e-04
1.575849360776420283e-03 5.574463494846416001e-04 2.838478420587066658e-04
6.009294247489332290e-04 5.587492965840407328e-04 2.708999466250355294e-04
1.743848360415657705e-03 3.486821038709625648e-04 2.722596160934897657e-04
6.439181005819969925e-04 3.649089363233416110e-04 2.635839333056784689e-04
3.797742352772104607e-04 3.535566652267853197e-04 2.626999362012398228e-04
2.003134614244301420e-03 2.675737598107594565e-04 2.573603887371624576e-04
6.518047528966470138e-04 2.682844554684463601e-04 2.568967162069985487e-04
3.672321919363266381e-04 2.682843329124830439e-04 2.568968434808384534e-04
2.712272861399926921e-04 2.616249478129148106e-04 2.542191707717274068e-04
5.574463494846416001e-04 5.574463494846416001e-04 2.195894465709817599e-04
1.575849360776420500e-03 3.353340301209061609e-04 2.195894465709817599e-04
5.921263206562988246e-04 3.478997119983025309e-04 2.136586619954769159e-04
3.769985506385740959e-04 3.496530019626112882e-04 2.086966428868635586e-04
1.743412940452446561e-03 2.544946289403831924e-04 2.133486651406263650e-04
6.437086385938433838e-04 2.616907166414083490e-04 2.085133722400797304e-04
3.672324473395514118e-04 2.627000389091846194e-04 2.079576548499471780e-04
2.682843929305764037e-04 2.568968050405319057e-04 2.079576154930145345e-04
2.003287637685411283e-03 2.107854042543866476e-04 2.039254312536518585e-04
6.518045175318882981e-04 2.111734602957962895e-04 2.035577130960053839e-04
3.672323149330900200e-04 2.111733795759166430e-04 2.035576810056645013e-04
2.627000150944077002e-04 2.111733783008505985e-04 2.035576529546570751e-04
2.128408133317658978e-04 2.072758580579280789e-04 2.014701299841321891e-04
5.574463494846416001e-04 3.353340301209061609e-04 1.765912498961339275e-04
3.505804279291247741e-04 3.358185227504719675e-04 1.715286569549281221e-04
1.575849360776420283e-03 2.484440615002765597e-04 1.765912498961339275e-04
5.920751810722494918e-04 2.541445863365200111e-04 1.722044914906648374e-04
3.646648455373699416e-04 2.616135270194798728e-04 1.678576430733861430e-04
2.682844187878608705e-04 2.568968614144556640e-04 1.673538553156092676e-04
1.743244734869727483e-03 2.016308297756227844e-04 1.719667386318350709e-04
