# Bispectrum monopole for NGC EZmock_realistic
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.738000000000000045e-03 3.511100000000000332e-02 4.009599999999999970e-02 1.146036431609405327e+10 7.020005012054980278e+09 8.052490921211989403e+09 8.052088750066084862e+09
5.738000000000000045e-03 3.511100000000000332e-02 4.509300000000000114e-02 1.195170157450032234e+10 7.511342270461226463e+09 1.575314101967944336e+10 1.575297485271611404e+10
5.738000000000000045e-03 4.009599999999999970e-02 4.009599999999999970e-02 9.315760958033342361e+09 4.875401653994261742e+09 9.722688850163349152e+09 9.722738847222236633e+09
5.738000000000000045e-03 4.009599999999999970e-02 4.509300000000000114e-02 1.051435232999395561e+10 6.073993025954880714e+09 6.910068368270677567e+09 6.910130037465012550e+09
5.738000000000000045e-03 4.009599999999999970e-02 5.009299999999999864e-02 1.154484241134291840e+10 7.104483107303846359e+09 1.365598373989028168e+10 1.365578765610395241e+10
5.738000000000000045e-03 4.509300000000000114e-02 4.509300000000000114e-02 9.140808463741043091e+09 4.700449159701951027e+09 8.942239943710029602e+09 8.942309040636573792e+09
5.738000000000000045e-03 4.509300000000000114e-02 5.009299999999999864e-02 1.032757239610161400e+10 5.887213092062526703e+09 6.466244785345904350e+09 6.466166293881716728e+09
5.738000000000000045e-03 4.509300000000000114e-02 5.507800000000000196e-02 1.062671247056171227e+10 6.186353166522639275e+09 1.194964407005371475e+10 1.194943682220875931e+10
5.738000000000000045e-03 5.009299999999999864e-02 5.009299999999999864e-02 8.603671808655494690e+09 4.163312504616419315e+09 8.239148203368556976e+09 8.238784130687215805e+09
5.738000000000000045e-03 5.009299999999999864e-02 5.507800000000000196e-02 9.969530316603744507e+09 5.529171012564651489e+09 6.196551962504624367e+09 6.196025011381401062e+09
5.738000000000000045e-03 5.009299999999999864e-02 6.006700000000000234e-02 1.074727336862140083e+10 6.306914064582337379e+09 1.090782377096079826e+10 1.090728344509084129e+10
5.738000000000000045e-03 5.507800000000000196e-02 5.507800000000000196e-02 8.233761465583692551e+09 3.793402161544606209e+09 7.770981923156860352e+09 7.770990272145596504e+09
5.738000000000000045e-03 5.507800000000000196e-02 6.006700000000000234e-02 9.670005568930511475e+09 5.229646264891425133e+09 5.648504577368130684e+09 5.648572708570263863e+09
5.738000000000000045e-03 5.507800000000000196e-02 6.505900000000000571e-02 1.007494622449164009e+10 5.634586920452563286e+09 9.685796453911428452e+09 9.686179979229480743e+09
5.738000000000000045e-03 6.006700000000000234e-02 6.006700000000000234e-02 8.110220081517969131e+09 3.669860777478895664e+09 7.656388311478898048e+09 7.656428955698553085e+09
5.738000000000000045e-03 6.006700000000000234e-02 6.505900000000000571e-02 9.555078874974136353e+09 5.114719570935069084e+09 5.473050853172883987e+09 5.472908916616205215e+09
5.738000000000000045e-03 6.006700000000000234e-02 7.005400000000000515e-02 1.002758610463411713e+10 5.587226800595054626e+09 9.143059491092193604e+09 9.142787096460622787e+09
5.738000000000000045e-03 6.505900000000000571e-02 6.505900000000000571e-02 7.731398248778287888e+09 3.291038944739203453e+09 7.226285760546405792e+09 7.226338809873587608e+09
5.738000000000000045e-03 6.505900000000000571e-02 7.005400000000000515e-02 9.158525092242210388e+09 4.718165788203138351e+09 5.251608661847743988e+09 5.251460719753141403e+09
5.738000000000000045e-03 6.505900000000000571e-02 7.505299999999999472e-02 1.021455951574049759e+10 5.774200211701414108e+09 8.756326903224361420e+09 8.756764079765640259e+09
5.738000000000000045e-03 7.005400000000000515e-02 7.005400000000000515e-02 7.733523688907604218e+09 3.293164384868529797e+09 7.149051621764010429e+09 7.149174504548181534e+09
5.738000000000000045e-03 7.005400000000000515e-02 7.505299999999999472e-02 9.107643469114957809e+09 4.667284165075872421e+09 5.044313558129554749e+09 5.044245430362704277e+09
5.738000000000000045e-03 7.005400000000000515e-02 8.005400000000000016e-02 9.455213914754005432e+09 5.014854610714926720e+09 8.081818716045796394e+09 8.081843991882997513e+09
5.738000000000000045e-03 7.505299999999999472e-02 7.505299999999999472e-02 7.727134575492165565e+09 3.286775271453072548e+09 6.793375470496520042e+09 6.793382835397312164e+09
5.738000000000000045e-03 7.505299999999999472e-02 8.005400000000000016e-02 8.872113396229717255e+09 4.431754092190644264e+09 4.932566249271704674e+09 4.932517411136387825e+09
5.738000000000000045e-03 8.005400000000000016e-02 8.005400000000000016e-02 7.544054601991640091e+09 3.103695297952556610e+09 6.586080614414851189e+09 6.586422919186105728e+09
1.037300000000000028e-02 1.037300000000000028e-02 1.037300000000000028e-02 1.327248006634897614e+10 8.832120762309877396e+09 3.591039162383740234e+10 3.591019551808847809e+10
1.037300000000000028e-02 1.037300000000000028e-02 1.525999999999999926e-02 1.258171085311582947e+10 8.141351549076766968e+09 1.815935659427973175e+10 1.815923615660464478e+10
1.037300000000000028e-02 1.037300000000000028e-02 2.019699999999999968e-02 1.128071451174255943e+10 6.840355207703501701e+09 1.997092562539258575e+10 1.997112035445179749e+10
1.037300000000000028e-02 1.037300000000000028e-02 2.516699999999999840e-02 1.272663044316928864e+10 8.286271139130189896e+09 4.694843187391834259e+10 4.694860456434600830e+10
