# Pk for p=1.6, SGC 
#  k(h/Mpc) Pk*A/Q0(0) 0.99714 / 0.83352
3.750000000000000295e-03 3.266554882812500000e+04
8.035714285714286656e-03 4.068530468750000000e+04
1.282894736842105608e-02 3.923500390625000000e+04
1.773648648648648574e-02 4.815252343750000000e+04
2.268442622950819776e-02 3.898629296875000000e+04
2.765109890109889931e-02 3.951167968750000000e+04
3.262795275590551353e-02 3.894982421875000000e+04
3.761094674556213213e-02 3.134120703125000000e+04
4.259792626728110126e-02 2.356244335937500000e+04
4.758763837638376598e-02 2.269779296875000000e+04
5.257930513595167332e-02 1.843650781250000000e+04
5.757241813602014674e-02 2.177342968750000000e+04
6.256663113006397103e-02 2.133424609375000000e+04
6.756170018281536238e-02 1.915711523437500000e+04
7.255744849445325273e-02 1.904306445312500000e+04
7.755374479889043382e-02 1.435596972656250000e+04
8.255048959608321524e-02 1.633213867187500000e+04
8.754760609357999102e-02 1.191857714843750000e+04
9.254503407984421282e-02 1.122328906250000000e+04
9.754272567922873949e-02 1.005551562500000000e+04
1.025406423473433498e-01 9.174930664062500000e+03
1.075387527036769930e-01 9.491447265625000000e+03
1.125370309414088082e-01 7.841673828125000000e+03
1.175354556427277986e-01 8.305672851562500000e+03
1.225340088839533548e-01 7.119898437500000000e+03
1.275326755509994803e-01 8.442500000000000000e+03
1.325314428096820152e-01 7.205509277343750000e+03
1.375302996914940790e-01 7.007379882812500000e+03
1.425292367665162430e-01 7.567635253906250000e+03
1.475282458828035270e-01 6.663693847656250000e+03
1.525273199570046367e-01 5.467283691406250000e+03
1.575264528048370694e-01 3.916813232421875000e+03
1.625256390028400610e-01 4.298706542968750000e+03
1.675248737748737671e-01 4.567642089843750000e+03
1.725241528983477990e-01 4.358231933593750000e+03
1.775234726262892859e-01 3.739469970703125000e+03
1.825228296222166646e-01 3.555126464843750000e+03
1.875222209054278610e-01 4.054641113281250000e+03
1.925216438048121814e-01 2.895615478515625000e+03
1.975210959196753435e-01 3.111371337890625000e+03
2.025205750863645349e-01 2.324453369140625000e+03
2.075200793497193053e-01 2.639493408203125000e+03
2.125196069385495434e-01 2.268217529296875000e+03
2.175191562444953319e-01 2.446551513671875000e+03
2.225187258037367444e-01 1.983010375976562500e+03
2.275183142811141312e-01 2.149745849609375000e+03
2.325179204562972113e-01 1.961439453125000000e+03
2.375175432117004048e-01 1.680288574218750000e+03
2.425171815218931104e-01 1.698438720703125000e+03
2.475168344442932600e-01 1.968009765625000000e+03
2.525165011109659075e-01 2.057648681640625000e+03
2.575161807213774967e-01 1.733187744140625000e+03
2.625158725359777456e-01 1.471458129882812500e+03
2.675155758705018982e-01 1.578452880859375000e+03
2.725152900908989206e-01 1.085536865234375000e+03
2.775150146088086189e-01 1.154118896484375000e+03
