# P_lin(k1,k2,k3) at z_eff=1.467710667916275 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  P_lin(k1) P_lin(k2) P_lin(k3)
5.210105141164473025e+03 5.545789043428985678e+03 5.632432336352373568e+03
5.540744970794303299e+03 5.691154409778908303e+03 6.222056008665574154e+03
5.379390173001411313e+03 6.213419391384511982e+03 6.156601367599513651e+03
6.222461078059839565e+03 6.181151560924116893e+03 6.128399055011761448e+03
5.694803769246081174e+03 5.694803769246081174e+03 5.582357731878913910e+03
5.565790880241537707e+03 6.138360840026861297e+03 5.402954625743340330e+03
6.212209988859965961e+03 6.139883306859129334e+03 5.261387308753121033e+03
5.380111780328790701e+03 5.325552360073753334e+03 5.135015911698303171e+03
6.195297783466299734e+03 5.337933545743278046e+03 5.126280999652753053e+03
5.384440603042736257e+03 5.213264326622847875e+03 5.069057054062501265e+03
5.694803769246082993e+03 6.078621990719354471e+03 4.325750561967493013e+03
6.146537615328696120e+03 6.081097873045087908e+03 4.150365316995028479e+03
5.566703499413762984e+03 5.081602782434277287e+03 4.169639178755232933e+03
6.189491785972202706e+03 5.223521802633483276e+03 4.042807276218936295e+03
5.337936469420126741e+03 5.126283560383504664e+03 4.029344002699068824e+03
5.381008754463319747e+03 4.102292694852943896e+03 3.945666416047754865e+03
6.195298243418058519e+03 4.112676822908962095e+03 3.938198769147964867e+03
5.242323904147251596e+03 4.112675037575890201e+03 3.938200823583760211e+03
4.155025072825869756e+03 4.012827482737992796e+03 3.894398102680785087e+03
6.078621990719354471e+03 6.078621990719354471e+03 3.389233517095384741e+03
5.694803769246081174e+03 4.949098041839219150e+03 3.389233517095384741e+03
6.135032233489308965e+03 5.074256365672314132e+03 3.304595406300190461e+03
5.317599840259928897e+03 5.090650865468128359e+03 3.231796557201432734e+03
5.567027990674876492e+03 3.898958974796104940e+03 3.300103437840562492e+03
6.189329641935100881e+03 4.013842596104437689e+03 3.229069085158207599e+03
5.242325951592772981e+03 4.029345573119038818e+03 3.221345515595532106e+03
4.112675911889242343e+03 3.938200203086195415e+03 3.221345074389457295e+03
5.380903682575764833e+03 3.262680927215295924e+03 3.176121484373601561e+03
6.195298078659040584e+03 3.268379278820973923e+03 3.171994472698233494e+03
5.242324890154018249e+03 3.268378094750647506e+03 3.171994112512656102e+03
4.029345208987637307e+03 3.268378076046849856e+03 3.171993797665006696e+03
3.292729012068646171e+03 3.213701848739698107e+03 3.148552315276025183e+03
6.078621990719354471e+03 4.949098041839219150e+03 2.882827460673885525e+03
5.099223904387969014e+03 4.954188998044591244e+03 2.832596940475596057e+03
5.694803769246082993e+03 3.795610726805481590e+03 2.882827460673885525e+03
6.134962355707161805e+03 3.893160957145648808e+03 2.839370370559647654e+03
5.221525568595623554e+03 4.012651145923077365e+03 2.798815098191809739e+03
4.112676288565000505e+03 3.938201113065391382e+03 2.794165370312934101e+03
5.567153354755149849e+03 3.150357714877058243e+03 2.836990372817687785e+03
6.189320215552034824e+03 3.212893051469611237e+03 2.798485726856452402e+03
5.242325190993735305e+03 3.221345187259667455e+03 2.794165134665970527e+03
4.029344731423313078e+03 3.221345075615951828e+03 2.794164876435841961e+03
3.268378172447271481e+03 3.171994228863378794e+03 2.794165393050125203e+03
5.380970586025922785e+03 2.817228079968445854e+03 2.769113678643658659e+03
6.195297765653863280e+03 2.820256418906714316e+03 2.766694554618930852e+03
5.242326448657615401e+03 2.820256207954841557e+03 2.766694924079840803e+03
4.029345652332453938e+03 2.820256261619024372e+03 2.766694944117899013e+03
3.221345529245427770e+03 2.820256125955022981e+03 2.766694756490485815e+03
2.833583965291446930e+03 2.790890212663343846e+03 2.753280717097269189e+03
4.949098041839219150e+03 4.949098041839219150e+03 2.571738438548468821e+03
6.078621990719354471e+03 3.795610726805481590e+03 2.571738438548468821e+03
5.071321263793044636e+03 3.890949209530772805e+03 2.535557155803806381e+03
4.094838079483124602e+03 3.909028122848263592e+03 2.498644585063881095e+03
5.694803769246082993e+03 3.094318573903272863e+03 2.571738438548468821e+03
6.134832012345949806e+03 3.147094527514364017e+03 2.534839342934947581e+03
5.221383002006413335e+03 3.212196296656411960e+03 2.497121616111879575e+03
4.029345026068592688e+03 3.221345364599565528e+03 2.492570163315791433e+03
3.268378023367479273e+03 3.171994059485602520e+03 2.492570419860706807e+03
5.567249973925738232e+03 2.753779503319592550e+03 2.532661706951969336e+03
6.189279475923061909e+03 2.789488803059829024e+03 2.496800435092804946e+03
5.242325327996896704e+03 2.794164913653441090e+03 2.492570214347374986e+03
4.029345408099206452e+03 2.794165078651225485e+03 2.492570147474139048e+03
3.221345065621917001e+03 2.794164981760558931e+03 2.492570159009950203e+03
2.820256502194633867e+03 2.766695045772425601e+03 2.492570419402849893e+03
5.381071466619413513e+03 2.514642782092602829e+03 2.467809379353986515e+03
6.195297694149875497e+03 2.517436616999311354e+03 2.465317509455287109e+03
5.242326714142954188e+03 2.517436771259279794e+03 2.465317688481448386e+03
4.029344776843448017e+03 2.517436707891427432e+03 2.465317904088316027e+03
3.221344791887048814e+03 2.517436706683561624e+03 2.465317713444422225e+03
2.794165065020002658e+03 2.517436939047542182e+03 2.465317673198779175e+03
2.529689373923892617e+03 2.489682814638220862e+03 2.451530680602254961e+03
4.949098041839221878e+03 3.795610726805481590e+03 2.239761766188447382e+03
3.913395940762690770e+03 3.799689226718769078e+03 2.187073204425992117e+03
6.078621990719354471e+03 3.094318573903272863e+03 2.239761766188447382e+03
5.070793128476657330e+03 3.145795072275605435e+03 2.195540529594642976e+03
4.011942617158057601e+03 3.211872417146780208e+03 2.148210663541560280e+03
3.268377584120933079e+03 3.171994161934924250e+03 2.142390416319409724e+03
5.694803769246082993e+03 2.719693596032194364e+03 2.239761766188447382e+03
6.134706678029952855e+03 2.751787520625145135e+03 2.194577531763306979e+03
5.221244218471647400e+03 2.789102313175209474e+03 2.148045757027231048e+03
4.029344459257131803e+03 2.794165089682878261e+03 2.142390671008347908e+03
3.221345319178864429e+03 2.794165030038041095e+03 2.142390833333995943e+03
2.820255978336602311e+03 2.766694682028237366e+03 2.142390747504572573e+03
5.567293044920389548e+03 2.451807254092600942e+03 2.191811298743977659e+03
6.189267490200886641e+03 2.488016891247547392e+03 2.147621776428994508e+03
5.242325915389002148e+03 2.492570156540792595e+03 2.142390779565849698e+03
4.029345642907738693e+03 2.492570278385257097e+03 2.142390945797620589e+03
3.221345362342720364e+03 2.492570268230854253e+03 2.142390386630739613e+03
2.794165121498110238e+03 2.492570182635876336e+03 2.142390614210567946e+03
2.517436746212940761e+03 2.465317684378387185e+03 2.142390937766982006e+03
5.381008395877557632e+03 2.169791519855025854e+03 2.112280522287187068e+03
6.195297625410471483e+03 2.173203612815141241e+03 2.109223458235432190e+03
5.242324669612604339e+03 2.173203675155096789e+03 2.109222852478176264e+03
4.029344699731783294e+03 2.173203533445968333e+03 2.109222452596429775e+03
3.221345471093403376e+03 2.173203832814107955e+03 2.109223263489910096e+03
