# T(k1,k2,k3) at z_eff=1.467710667916275 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s2rebin/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
3.584373304066025279e-01 3.416699031698984812e-01 2.080099032361623912e-01
7.715433515193275138e-01 2.679362599614165674e-01 2.147716046602278772e-01
5.954913150452946224e-01 2.727877646097773279e-01 2.112986954213087742e-01
4.611929007423544724e-01 2.783332341311864910e-01 2.078744876261919283e-01
3.526813864751801586e-01 2.790772029208870575e-01 2.074706181189789056e-01
2.840921249764958301e-01 2.749627470798104989e-01 2.074706408483215081e-01
7.851401817366929770e-01 2.331602319028765469e-01 2.110958712996398312e-01
6.151117621093441512e-01 2.368782392239592582e-01 2.078459472857885904e-01
4.632633344382680596e-01 2.373549335533099436e-01 2.074706226402701359e-01
3.526814205064213725e-01 2.373549503293255480e-01 2.074706167154418412e-01
2.790771787439981777e-01 2.373549404780460614e-01 2.074706177374904537e-01
2.399671913816326385e-01 2.345201040043360385e-01 2.074706408077563735e-01
8.023594900202741798e-01 2.094406562315578313e-01 2.052954578871398206e-01
6.179138412705557082e-01 2.096920429507983241e-01 2.050786343073738027e-01
4.632634716028049549e-01 2.096920568433501830e-01 2.050786498710971129e-01
3.526813642742311905e-01 2.096920511364827600e-01 2.050786686149839166e-01
2.790771566083641297e-01 2.096920510277030802e-01 2.050786520412650471e-01
2.373549489433821047e-01 2.096920719542528788e-01 2.050786485424910266e-01
2.108194495211836716e-01 2.072150556406741895e-01 2.038859595934467417e-01
4.344021542487884746e-01 3.306706704107515993e-01 1.870542044756041689e-01
3.420806406469874550e-01 3.310781647300315433e-01 1.831944322591286811e-01
5.801743112409696312e-01 2.679362599614165674e-01 1.870542044756041689e-01
4.463732755217347803e-01 2.726723286073742258e-01 1.838065841385986277e-01
3.511253991421945386e-01 2.783067451154088712e-01 1.804098789877850717e-01
2.840920789328534868e-01 2.749627558871037825e-01 1.799960175760404180e-01
7.715433515193275138e-01 2.295008089784663918e-01 1.870542044756041689e-01
5.954532933008341855e-01 2.329490831855339783e-01 1.837368554013759092e-01
4.611791920655963772e-01 2.368387280096851677e-01 1.803981425216459045e-01
3.526813359836731276e-01 2.373549514509597502e-01 1.799960356698839525e-01
2.790771992479333941e-01 2.373549453866198589e-01 1.799960472019712376e-01
2.399671397720888888e-01 2.345200659367840113e-01 1.799960411043986797e-01
7.851358724812484979e-01 2.039097694081717926e-01 1.835367137673671600e-01
6.151063874275092269e-01 2.070678313346324129e-01 1.803679704673000206e-01
4.632633925629965344e-01 2.074706175187282231e-01 1.799960433821253258e-01
3.526814414231345673e-01 2.074706283138922358e-01 1.799960551917153539e-01
2.790772027383868759e-01 2.074706274142334439e-01 1.799960154668709122e-01
2.373549546857472159e-01 2.074706198306978389e-01 1.799960316348042100e-01
2.096920545876931607e-01 2.050786495143955279e-01 1.799960546211953616e-01
8.023649032567525818e-01 1.819513666405621066e-01 1.778661761912598005e-01
6.179138079843593534e-01 1.821961548599209668e-01 1.776508925591820387e-01
4.632632692885909065e-01 1.821961593350798769e-01 1.776508499169320021e-01
3.526813574051320677e-01 1.821961491622967888e-01 1.776508217672810030e-01
2.790772115325310110e-01 1.821961706528476277e-01 1.776508788500806291e-01
2.373549455423277776e-01 1.821961590109790197e-01 1.776508406558456044e-01
2.074706402759652624e-01 1.821961562948690994e-01 1.776508302284881269e-01
1.832940147604281145e-01 1.797785826628202632e-01 1.764806654321578738e-01
