# Tk at z_eff=1.6519 (p=1.0, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.043377881430805103e-05 -6.186471295756604781e-04 -4.640892815241019309e-04 -4.640892923196767599e-04 -6.186436587931347288e-04 -4.640761306059471795e-04 -4.641931996817307373e-04 5.881120212795767355e-01 5.876982030180931682e-01
1.313534929037202208e-05 -9.803605300678357604e-04 -7.355314522340254983e-04 -7.355314793504198062e-04 -9.803518126321670353e-04 -7.355092797776263810e-04 -7.356960665883391023e-04 5.881114999263893361e-01 5.876977602311652671e-01
1.653642501444182178e-05 -1.553442568966321687e-03 -1.165737601221909954e-03 -1.165737669329941105e-03 -1.553420675373599512e-03 -1.165699120367657974e-03 -1.165998284359242004e-03 5.881106945757331728e-01 5.876970793212690225e-01
2.081812567090954053e-05 -2.461226521278189836e-03 -1.847566610415374202e-03 -1.847566781479196597e-03 -2.461171540293443944e-03 -1.847497233119212113e-03 -1.847979230372404124e-03 5.881094226599341557e-01 5.876960046569567053e-01
2.620846743303251739e-05 -3.898737031034304676e-03 -2.928188110866967054e-03 -2.928188540483502543e-03 -3.898598980321140318e-03 -2.928057083070734288e-03 -2.928840726127772322e-03 5.881073760050019583e-01 5.876942703656242717e-01
3.299450565562448486e-05 -6.173950608090103542e-03 -4.640846332043367314e-03 -4.640847410908926704e-03 -6.173604053608210823e-03 -4.640585738649759436e-03 -4.641877285462913706e-03 5.881041456355157182e-01 5.876915348605694644e-01
4.153762161945203773e-05 -9.772176335690661506e-03 -7.355197713822445547e-03 -7.355200422681154072e-03 -9.771306683055990677e-03 -7.354651761570698242e-03 -7.356823203038528880e-03 5.880990157900188864e-01 5.876871882835211780e-01
5.229276740221896000e-05 -1.545556502197874271e-02 -1.165708200482692969e-02 -1.165708880478039632e-02 -1.545338392256076325e-02 -1.165588284149639449e-02 -1.165963701005963762e-02 5.880908834854311484e-01 5.876802950566893946e-01
6.583269373569511308e-05 -2.441451777380205732e-02 -1.847492710096354518e-02 -1.847494416391137761e-02 -2.440905254711539865e-02 -1.847218803323412428e-02 -1.847892333859221109e-02 5.880780203577917753e-01 5.876693897925635568e-01
8.287845107072927249e-05 -3.849201151043080138e-02 -2.928002557037267389e-02 -2.928006835998482951e-02 -3.847833687683681336e-02 -2.927357882624424118e-02 -2.928622614556856268e-02 5.880576522109851600e-01 5.876521097380454917e-01
1.043377881430805848e-04 -6.050061469147251236e-02 -4.640380443358049084e-02 -4.640391163578593686e-02 -6.046647710251457780e-02 -4.638830058880527574e-02 -4.641329961271976889e-02 5.880254400143865023e-01 5.876247547538211435e-01
1.313534929037203224e-04 -9.463115878741870657e-02 -7.354028691008644703e-02 -7.354055507773719913e-02 -9.454624469633134132e-02 -7.350244644542382189e-02 -7.355450991990097886e-02 5.879745638144628916e-01 5.875814842812734362e-01
1.653642501444183466e-04 -1.468765953400837376e-01 -1.165415067533121379e-01 -1.165421759560196779e-01 -1.466665878434233738e-01 -1.164482460698309518e-01 -1.165620068979828089e-01 5.878943697756007225e-01 5.875131152644471610e-01
2.081812567090955408e-04 -2.251864276516338526e-01 -1.846758357520978111e-01 -1.846774993866598658e-01 -2.246717374051750149e-01 -1.844445776776027501e-01 -1.847033248629079416e-01 5.877683585504553943e-01 5.874052814348930118e-01
2.620846743303253501e-04 -3.385812762589489044e-01 -2.926165819091166020e-01 -2.926206928643829142e-01 -3.373379283027049258e-01 -2.920411004384613207e-01 -2.926480780346006338e-01 5.875713170363305871e-01 5.872356777052539778e-01
3.299450565562450925e-04 -4.935275391749190388e-01 -4.635797641388281765e-01 -4.635898265263624363e-01 -4.905919977978205893e-01 -4.621453937015448932e-01 -4.636012264484563605e-01 5.872655082617571631e-01 5.869700845611851570e-01
4.153762161945206348e-04 -6.847326233064977563e-01 -7.342637090845236525e-01 -7.342879760985032700e-01 -6.780491567929404217e-01 -7.306887139895309469e-01 -7.342331263551038489e-01 5.867962319227014723e-01 5.865569866574061875e-01
5.229276740221899117e-04 -8.784608170162472307e-01 -1.162599519893499078e+00 -1.162656706669420448e+00 -8.640975982023008095e-01 -1.153704379022410631e+00 -1.162412998822588417e+00 5.860879013564506135e-01 5.859210826696044094e-01
6.583269373569515916e-04 -9.975847338059907754e-01 -1.839857918371268886e+00 -1.839987986774446638e+00 -9.694117961907058323e-01 -1.817807478049354275e+00 -1.839294559867240553e+00 5.850427604629090395e-01 5.849571579064638538e-01
8.287845107072932399e-04 -9.514469004791160645e-01 -2.909455688079806368e+00 -2.909736248605900411e+00 -9.035357624508641994e-01 -2.855147566793573066e+00 -2.908117755334796328e+00 5.835432079458982013e-01 5.835274765220693771e-01
1.043377881430806661e-03 -7.769587557783383946e-01 -4.595975723080113262e+00 -4.596537155459135882e+00 -7.110707716435186176e-01 -4.463618135893021588e+00 -4.593264367325957664e+00 5.814499041848205652e-01 5.814653170571925100e-01
1.313534929037204037e-03 -7.504893996903092557e-01 -7.249569696819131437e+00 -7.250593240862425404e+00 -6.809175616265394915e-01 -6.932222666071249151e+00 -7.244605169516002974e+00 5.785726274148397241e-01 5.785762793105517776e-01
1.653642501444184225e-03 -8.867485610825379672e-01 -1.141284343976863624e+01 -1.141456852097312868e+01 -8.270428044767542675e-01 -1.067034624719799574e+01 -1.140383702636741603e+01 5.746065783583752529e-01 5.745995698263924867e-01
2.081812567090956384e-03 -7.091034837029819293e-01 -1.792028495343338435e+01 -1.792321591946079096e+01 -6.763168487463543377e-01 -1.624180935207122900e+01 -1.790356456957958642e+01 5.691715050049246383e-01 5.691733492474840839e-01
2.620846743303254910e-03 -7.843459347036102480e-01 -2.804191977505943356e+01 -2.804742312266274951e+01 -7.660400729439267309e-01 -2.441172459279738050e+01 -2.801177275316491233e+01 5.618665757148543216e-01 5.618639163146507132e-01
3.299450565562452118e-03 -6.905696267173420111e-01 -4.368825816735396472e+01 -4.369917704154209304e+01 -6.630182870653887894e-01 -3.621255940649176353e+01 -4.363466647226388773e+01 5.522266424893597092e-01 5.522256661392592747e-01
4.153762161945208191e-03 -6.707691073561828921e-01 -6.769052494946977561e+01 -6.771282290146521632e+01 -6.330295561933917403e-01 -5.295303665549700156e+01 -6.759746275435334439e+01 5.397736036315429198e-01 5.397727998407327865e-01
5.229276740221901719e-03 -6.476374215509492771e-01 -1.041636651511005454e+02 -1.042117076590820659e+02 -6.351894142740251992e-01 -7.601237421144118400e+01 -1.040069591689737081e+02 5.240112557827355522e-01 5.240107744046218485e-01
6.583269373569518301e-03 -6.756682048166428034e-01 -1.589381634585937775e+02 -1.590448171697078408e+02 -6.752636683205497370e-01 -1.066240106629169304e+02 -1.586844513600689197e+02 5.044411331004249321e-01 5.044408953868215750e-01
8.287845107072935869e-03 -5.929685433666217476e-01 -2.399788919403508771e+02 -2.402210617268822830e+02 -5.729516672770061936e-01 -1.456672220850526855e+02 -2.395941789670429216e+02 4.805627099437885796e-01 4.805626693087689527e-01
1.043377881430807008e-02 -5.571244345999976089e-01 -3.575927206002014032e+02 -3.581479066048086111e+02 -5.384636395702961931e-01 -1.920006152557906773e+02 -3.570686728885850130e+02 4.518817541323052467e-01 4.518817452327892892e-01
1.313534929037204514e-02 -5.151029943621411311e-01 -5.239565075598640078e+02 -5.252250667432341515e+02 -4.978427451279033855e-01 -2.409634949099790902e+02 -5.233870575666194327e+02 4.179222396434743025e-01 4.179222362573408733e-01
