# mean mock P(k) for p=1.0, NGC Pk*A/Q0(0)
3.750000000000000295e-03 2.144353661524009658e+04
8.035714285714286656e-03 3.844594788183593482e+04
1.282894736842105608e-02 4.451245723632812587e+04
1.773648648648648574e-02 4.563508612109375099e+04
2.268442622950819776e-02 4.294057205468750180e+04
2.765109890109889931e-02 3.870441072851562785e+04
3.262795275590551353e-02 3.401082060742187605e+04
3.761094674556213213e-02 2.999412266406249910e+04
4.259792626728110126e-02 2.654519415820312497e+04
4.758763837638376598e-02 2.377414689843749875e+04
5.257930513595167332e-02 2.165237811132812567e+04
5.757241813602014674e-02 2.010202771093749834e+04
6.256663113006397103e-02 1.878290495117187675e+04
6.756170018281536238e-02 1.752863505371093925e+04
7.255744849445325273e-02 1.622874595410156326e+04
7.755374479889043382e-02 1.484314194726562528e+04
8.255048959608321524e-02 1.336928474804687539e+04
8.754760609357999102e-02 1.192745179199218728e+04
9.254503407984421282e-02 1.071728130468749987e+04
9.754272567922873949e-02 9.706589727050781221e+03
1.025406423473433498e-01 8.866751163085937151e+03
1.075387527036769930e-01 8.170053303222655813e+03
1.125370309414088082e-01 7.634298486816406694e+03
1.175354556427277986e-01 7.215942651855469194e+03
1.225340088839533548e-01 6.802456078613281534e+03
1.275326755509994803e-01 6.448312113769531607e+03
1.325314428096820152e-01 6.037685681640625262e+03
1.375302996914940790e-01 5.636742103515624876e+03
1.425292367665162430e-01 5.213474602539062289e+03
1.475282458828035270e-01 4.813846052978515218e+03
1.525273199570046367e-01 4.433713058837890458e+03
1.575264528048370694e-01 4.079398123535156174e+03
1.625256390028400610e-01 3.768569856689452990e+03
1.675248737748737671e-01 3.544130920410156250e+03
1.725241528983477990e-01 3.330584461669921893e+03
1.775234726262892859e-01 3.147028173828125091e+03
1.825228296222166646e-01 2.977856176147461156e+03
1.875222209054278610e-01 2.819433747070312620e+03
1.925216438048121814e-01 2.703276355346679793e+03
1.975210959196753435e-01 2.532995710571289237e+03
2.025205750863645349e-01 2.391773132324218750e+03
2.075200793497193053e-01 2.223974974365234175e+03
2.125196069385495434e-01 2.078482463623046897e+03
2.175191562444953319e-01 1.950942736450195298e+03
2.225187258037367444e-01 1.836880418945312613e+03
