# (k1,k2,k3) at z_eff=1.483 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s3rebin/models/k_eff-bisp.txt 
#  Minv(k1) Minv(k2) Minv(k3)
1.446859192118134978e-03 1.037579487942847213e-03 9.261510134022666587e-04
1.042850434708990056e-03 8.685725372122164072e-04 4.466535280783166242e-04
1.167834362642685819e-03 4.278265542596798392e-04 3.745592197950278843e-04
4.504524003029950732e-04 3.949348902804747179e-04 3.585035393581161999e-04
8.431554982877876052e-04 8.431554982877876052e-04 2.838497658220355871e-04
9.873217701795900143e-04 3.628811979208060572e-04 2.613740876179556239e-04
4.254133823301869607e-04 3.635275154731356295e-04 2.479848465162334966e-04
1.166268851373722642e-03 2.534803445016385799e-04 2.366132829631046274e-04
4.040469599667519509e-04 2.549646091210729646e-04 2.354771368872352934e-04
2.598776697090491683e-04 2.447648160058637536e-04 2.302742067669804205e-04
8.431554982877876052e-04 3.353363030395047745e-04 1.966520675861567371e-04
3.721495881151220902e-04 3.404916195505831487e-04 1.844827281945895072e-04
9.865644946567512109e-04 2.311811811118665873e-04 1.855959827091601549e-04
3.976059770535846170e-04 2.446106696129247103e-04 1.766552928543494762e-04
2.549645626830398582e-04 2.354771556899527330e-04 1.755120134108008269e-04
1.166005037032976418e-03 1.805906009961482240e-04 1.700776053548843075e-04
4.040472712561496925e-04 1.815441559842631395e-04 1.693924377202574269e-04
2.463593133545446002e-04 1.815441339949463594e-04 1.693924487718188128e-04
1.848079141935061011e-04 1.746647605832123715e-04 1.663928938773598148e-04
3.353363030395047203e-04 3.353363030395047203e-04 1.453534702282637187e-04
8.431554982877876052e-04 2.195909346477853310e-04 1.453534702282637187e-04
3.613084966001617803e-04 2.305852875311962830e-04 1.392748381166358481e-04
2.525985538586616617e-04 2.318634748912546696e-04 1.343481828719307147e-04
9.862878644581120520e-04 1.667343384128321061e-04 1.389969391309430239e-04
3.975148142355625080e-04 1.742531783953495995e-04 1.342478830810671104e-04
2.463593480335318753e-04 1.755119931821384131e-04 1.336118126179644875e-04
1.815441450645377021e-04 1.693924476502282265e-04 1.336118153779999602e-04
1.165803233272277124e-03 1.363830592050015091e-04 1.307420720089385419e-04
4.040474417109009720e-04 1.368808873370906632e-04 1.303924983395233280e-04
2.463593161866103453e-04 1.368809035787870191e-04 1.303924997494594065e-04
1.755120049417088085e-04 1.368808947352987131e-04 1.303925057848184950e-04
1.386297695419572065e-04 1.332439124554429474e-04 1.289109174608244726e-04
