# P_lin(k1,k2,k3) at z_eff=1.483 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s3rebin/models/k_eff-bisp.txt 
#  P_lin(k1) P_lin(k2) P_lin(k3)
5.729462729988090359e+03 6.039790247488130262e+03 6.106491046707380519e+03
6.036285658127270835e+03 6.133040865958634640e+03 5.675890237631720083e+03
5.946390718341936008e+03 5.582703445035108416e+03 5.239028259642284866e+03
5.692962389769188121e+03 5.379480968581066918e+03 5.110938692754428303e+03
6.142273601534138834e+03 6.142273601534138834e+03 4.276539080149078472e+03
6.071822139268441788e+03 5.147548001096901316e+03 3.963318885855648205e+03
5.569633644370704133e+03 5.152841863781492066e+03 3.744363594590114644e+03
5.947571648094057309e+03 3.837912816635260697e+03 3.579103285018300539e+03
5.440811945327381181e+03 3.862243069928475052e+03 3.564344208463940959e+03
3.940268035038918242e+03 3.686668283874228109e+03 3.495905247065964886e+03
6.142273601534138834e+03 4.892786287346370045e+03 3.059127508998728899e+03
5.220854956603964638e+03 4.945223828892605525e+03 2.926059263837463277e+03
6.072283283301948359e+03 3.507937980416735172e+03 2.936731668115474349e+03
5.396742038393404073e+03 3.683845905719924303e+03 2.850654379185297785e+03
3.862242314475614876e+03 3.564344453260997852e+03 2.839531170797624782e+03
5.947770563894324368e+03 2.888682634164382762e+03 2.787079172594486408e+03
5.440814011048059911e+03 2.897854085211426082e+03 2.780899672008084508e+03
3.715530913398465600e+03 2.897853873851485787e+03 2.780899771847226930e+03
2.929177097717563356e+03 2.831259205411809944e+03 2.753570914284382070e+03
4.892786287346367317e+03 4.892786287346367317e+03 2.542495924013559488e+03
6.142273601534138834e+03 3.350685121310249087e+03 2.542495924013559488e+03
5.134548061009101730e+03 3.500037288824120424e+03 2.465763480415036156e+03
3.823279560227249476e+03 3.516960997011682139e+03 2.392075040983899271e+03
6.072451561325972762e+03 2.756707758127918169e+03 2.461941578964778273e+03
5.396098653338623990e+03 2.827230970174307004e+03 2.390439187506179223e+03
3.715531534730478143e+03 2.839530973607881151e+03 2.379911275608305004e+03
2.897853980251707071e+03 2.780899761714844772e+03 2.379911321877236333e+03
5.947922706099747302e+03 2.424131139905487089e+03 2.328815286425154227e+03
5.440815142185559125e+03 2.431607200090175411e+03 2.322149552384659728e+03
3.715530964139665684e+03 2.431607441777804070e+03 2.322149579478903888e+03
2.839531088240607460e+03 2.431607310180624154e+03 2.322149695458251699e+03
2.456836708190685840e+03 2.373697594872484387e+03 2.292699821176663136e+03
