# T(k1,k2,k3) at z_eff=1.483 SGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s3rebin/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
7.600778598357892379e-01 7.081822669750522659e-01 6.887088070417831664e-01
7.090089484110327911e-01 6.768402307865170053e-01 5.225292866952635507e-01
7.278869426858972647e-01 5.095518158200360581e-01 4.689316108433781993e-01
5.249803159705490607e-01 4.832509761965728678e-01 4.561134089244732737e-01
6.711140175423647714e-01 6.711140175423647714e-01 3.776778687769833942e-01
6.998985207600644243e-01 4.597632022334745550e-01 3.508624383509779121e-01
5.077786374547321735e-01 4.602916864568964983e-01 3.298598006835996577e-01
7.276680778722042220e-01 3.391230801588829835e-01 3.154535760001221378e-01
4.907823760522431189e-01 3.414570398302729237e-01 3.142992160726649775e-01
3.487562671810296999e-01 3.238902474973049950e-01 3.087780721265040440e-01
6.711140175423648824e-01 4.344120548944805926e-01 2.679427589004074184e-01
4.671031204934804060e-01 4.396354632665961937e-01 2.542741661251921026e-01
6.997678220084608824e-01 3.097697282495879278e-01 2.552731703987348166e-01
4.851347575932797862e-01 3.235926656894665965e-01 2.467332067468906431e-01
3.414569678083793081e-01 3.142992353215511847e-01 2.455473222435827219e-01
7.276311434936533207e-01 2.506436239327344273e-01 2.398627573217747277e-01
4.907826425279926408e-01 2.515537550409390755e-01 2.392436237604662896e-01
3.269030713449249115e-01 2.515537342123813080e-01 2.392436338026507903e-01
2.545677161845941727e-01 2.446529948265108723e-01 2.364491171671906922e-01
4.344120548944805371e-01 4.344120548944805371e-01 2.147769101602466646e-01
6.711140175423648824e-01 2.959978430939056993e-01 2.147769101602466646e-01
4.584662393637718991e-01 3.091196551846090990e-01 2.076133903064811825e-01
3.377051198229791829e-01 3.105073083206252305e-01 2.011740606698959877e-01
6.997200323424920265e-01 2.367743793131863173e-01 2.072709611705343402e-01
4.850528376083477200e-01 2.442136424387629234e-01 2.010360791584379636e-01
3.269031356203534466e-01 2.455473010506737663e-01 2.001520799526973482e-01
2.515537446976385816e-01 2.392436327834989440e-01 2.001520838226442389e-01
7.276028805284764367e-01 2.039323934739261102e-01 1.959558985538887577e-01
4.907827884435877475e-01 2.045853583521218544e-01 1.954194468287814845e-01
3.269030765939913152e-01 2.045853795187206337e-01 1.954194490043677790e-01
2.455473133707925248e-01 2.045853679936590341e-01 1.954194583171610100e-01
2.068149871410008278e-01 1.996335499434087335e-01 1.930778158074217821e-01
