# S0B for NGC data 
# k1-eff  k2-eff  k3-eff S_0B(k1-eff,k2-eff,k3-eff)  S_0B
1.037300000000000028e-02 1.037300000000000028e-02 1.037300000000000028e-02 1.332080485169128799e+10 4.406788667664088249e+09
1.037300000000000028e-02 1.037300000000000028e-02 1.525999999999999926e-02 1.225584022171760368e+10 4.406788667664088249e+09
1.037300000000000028e-02 1.037300000000000028e-02 2.019699999999999968e-02 1.247329165999792862e+10 4.406788667664088249e+09
1.037300000000000028e-02 1.037300000000000028e-02 2.516699999999999840e-02 1.216452432979109764e+10 4.406788667664088249e+09
1.037300000000000028e-02 1.525999999999999926e-02 1.525999999999999926e-02 1.119087559174391556e+10 4.406788667664088249e+09
1.037300000000000028e-02 1.525999999999999926e-02 2.019699999999999968e-02 1.140832703002424240e+10 4.406788667664088249e+09
1.037300000000000028e-02 1.525999999999999926e-02 2.516699999999999840e-02 1.109955969981740952e+10 4.406788667664088249e+09
1.037300000000000028e-02 1.525999999999999926e-02 3.013700000000000059e-02 1.063762932121829796e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.019699999999999968e-02 2.019699999999999968e-02 1.162577846830456924e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.019699999999999968e-02 2.516699999999999840e-02 1.131701113809773827e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.019699999999999968e-02 3.013700000000000059e-02 1.085508075949862480e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.019699999999999968e-02 3.511100000000000332e-02 1.058935622359197044e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.516699999999999840e-02 2.516699999999999840e-02 1.100824380789090538e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.516699999999999840e-02 3.013700000000000059e-02 1.054631342929179382e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.516699999999999840e-02 3.511100000000000332e-02 1.028058889338513947e+10 4.406788667664088249e+09
1.037300000000000028e-02 2.516699999999999840e-02 4.009599999999999970e-02 9.916330032172983170e+09 4.406788667664088249e+09
1.037300000000000028e-02 3.013700000000000059e-02 3.013700000000000059e-02 1.008438305069267845e+10 4.406788667664088249e+09
1.037300000000000028e-02 3.013700000000000059e-02 3.511100000000000332e-02 9.818658514786024094e+09 4.406788667664088249e+09
1.037300000000000028e-02 3.013700000000000059e-02 4.009599999999999970e-02 9.454399653573871613e+09 4.406788667664088249e+09
1.037300000000000028e-02 3.013700000000000059e-02 4.509300000000000114e-02 9.352900124369445801e+09 4.406788667664088249e+09
1.037300000000000028e-02 3.511100000000000332e-02 3.511100000000000332e-02 9.552933978879371643e+09 4.406788667664088249e+09
1.037300000000000028e-02 3.511100000000000332e-02 4.009599999999999970e-02 9.188675117667217255e+09 4.406788667664088249e+09
1.037300000000000028e-02 3.511100000000000332e-02 4.509300000000000114e-02 9.087175588462793350e+09 4.406788667664088249e+09
1.037300000000000028e-02 3.511100000000000332e-02 5.009299999999999864e-02 8.844824746004531860e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.009599999999999970e-02 4.009599999999999970e-02 8.824416256455060959e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.009599999999999970e-02 4.509300000000000114e-02 8.722916727250637054e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.009599999999999970e-02 5.009299999999999864e-02 8.480565884792375565e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.009599999999999970e-02 5.507800000000000196e-02 8.467127223867846489e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.509300000000000114e-02 4.509300000000000114e-02 8.621417198046213150e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.509300000000000114e-02 5.009299999999999864e-02 8.379066355587951660e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.509300000000000114e-02 5.507800000000000196e-02 8.365627694663421631e+09 4.406788667664088249e+09
1.037300000000000028e-02 4.509300000000000114e-02 6.006700000000000234e-02 8.113358438074241638e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.009299999999999864e-02 5.009299999999999864e-02 8.136715513129689217e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.009299999999999864e-02 5.507800000000000196e-02 8.123276852205160141e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.009299999999999864e-02 6.006700000000000234e-02 7.871007595615980148e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.009299999999999864e-02 6.505900000000000571e-02 7.838913111184912682e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.507800000000000196e-02 5.507800000000000196e-02 8.109838191280629158e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.507800000000000196e-02 6.006700000000000234e-02 7.857568934691451073e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.507800000000000196e-02 6.505900000000000571e-02 7.825474450260381699e+09 4.406788667664088249e+09
1.037300000000000028e-02 5.507800000000000196e-02 7.005400000000000515e-02 7.676369184859202385e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.006700000000000234e-02 6.006700000000000234e-02 7.605299678102271080e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.006700000000000234e-02 6.505900000000000571e-02 7.573205193671203613e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.006700000000000234e-02 7.005400000000000515e-02 7.424099928270022392e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.006700000000000234e-02 7.505299999999999472e-02 7.384668840206636429e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.505900000000000571e-02 6.505900000000000571e-02 7.541110709240134239e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.505900000000000571e-02 7.005400000000000515e-02 7.392005443838954926e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.505900000000000571e-02 7.505299999999999472e-02 7.352574355775568962e+09 4.406788667664088249e+09
1.037300000000000028e-02 6.505900000000000571e-02 8.005400000000000016e-02 7.248300745526320457e+09 4.406788667664088249e+09
