# S0B for SGC data 
# k1-eff  k2-eff  k3-eff S_0B(k1-eff,k2-eff,k3-eff)  S_0B
5.785000000000000211e-03 5.785000000000000211e-03 5.785000000000000211e-03 1.545017838490098953e+10 5.783084954448138237e+09
5.785000000000000211e-03 5.785000000000000211e-03 1.042599999999999950e-02 1.351315951617005539e+10 5.783084954448138237e+09
5.785000000000000211e-03 5.785000000000000211e-03 1.528299999999999971e-02 1.343690012989210510e+10 5.783084954448138237e+09
5.785000000000000211e-03 1.042599999999999950e-02 1.042599999999999950e-02 1.157614064743912315e+10 5.783084954448138237e+09
5.785000000000000211e-03 1.042599999999999950e-02 1.528299999999999971e-02 1.149988126116117096e+10 5.783084954448138237e+09
5.785000000000000211e-03 1.042599999999999950e-02 2.021500000000000033e-02 1.205397963217062378e+10 5.783084954448138237e+09
5.785000000000000211e-03 1.528299999999999971e-02 1.528299999999999971e-02 1.142362187488321877e+10 5.783084954448138237e+09
5.785000000000000211e-03 1.528299999999999971e-02 2.021500000000000033e-02 1.197772024589267159e+10 5.783084954448138237e+09
5.785000000000000211e-03 1.528299999999999971e-02 2.516799999999999940e-02 1.145731913900613022e+10 5.783084954448138237e+09
5.785000000000000211e-03 2.021500000000000033e-02 2.021500000000000033e-02 1.253181861690212631e+10 5.783084954448138237e+09
5.785000000000000211e-03 2.021500000000000033e-02 2.516799999999999940e-02 1.201141751001558113e+10 5.783084954448138237e+09
5.785000000000000211e-03 2.021500000000000033e-02 3.012099999999999847e-02 1.205007445005350685e+10 5.783084954448138237e+09
5.785000000000000211e-03 2.516799999999999940e-02 2.516799999999999940e-02 1.149101640312903976e+10 5.783084954448138237e+09
5.785000000000000211e-03 2.516799999999999940e-02 3.012099999999999847e-02 1.152967334316696548e+10 5.783084954448138237e+09
5.785000000000000211e-03 2.516799999999999940e-02 3.511199999999999738e-02 1.117570450066583633e+10 5.783084954448138237e+09
5.785000000000000211e-03 3.012099999999999847e-02 3.012099999999999847e-02 1.156833028320488930e+10 5.783084954448138237e+09
5.785000000000000211e-03 3.012099999999999847e-02 3.511199999999999738e-02 1.121436144070376205e+10 5.783084954448138237e+09
5.785000000000000211e-03 3.012099999999999847e-02 4.010899999999999882e-02 1.062103489000510597e+10 5.783084954448138237e+09
5.785000000000000211e-03 3.511199999999999738e-02 3.511199999999999738e-02 1.086039259820263481e+10 5.783084954448138237e+09
5.785000000000000211e-03 3.511199999999999738e-02 4.010899999999999882e-02 1.026706604750397873e+10 5.783084954448138237e+09
5.785000000000000211e-03 3.511199999999999738e-02 4.509300000000000114e-02 9.955522440795745850e+09 5.783084954448138237e+09
5.785000000000000211e-03 4.010899999999999882e-02 4.010899999999999882e-02 9.673739496805322647e+09 5.783084954448138237e+09
5.785000000000000211e-03 4.010899999999999882e-02 4.509300000000000114e-02 9.362195890097089767e+09 5.783084954448138237e+09
5.785000000000000211e-03 4.010899999999999882e-02 5.008300000000000252e-02 9.206277078074178696e+09 5.783084954448138237e+09
5.785000000000000211e-03 4.509300000000000114e-02 4.509300000000000114e-02 9.050652283388856888e+09 5.783084954448138237e+09
5.785000000000000211e-03 4.509300000000000114e-02 5.008300000000000252e-02 8.894733471365945816e+09 5.783084954448138237e+09
5.785000000000000211e-03 4.509300000000000114e-02 5.508300000000000002e-02 8.723802226211910248e+09 5.783084954448138237e+09
5.785000000000000211e-03 5.008300000000000252e-02 5.008300000000000252e-02 8.738814659343032837e+09 5.783084954448138237e+09
5.785000000000000211e-03 5.008300000000000252e-02 5.508300000000000002e-02 8.567883414188998222e+09 5.783084954448138237e+09
5.785000000000000211e-03 5.008300000000000252e-02 6.007599999999999746e-02 8.720445059937318802e+09 5.783084954448138237e+09
5.785000000000000211e-03 5.508300000000000002e-02 5.508300000000000002e-02 8.396952169034962654e+09 5.783084954448138237e+09
5.785000000000000211e-03 5.508300000000000002e-02 6.007599999999999746e-02 8.549513814783284187e+09 5.783084954448138237e+09
5.785000000000000211e-03 5.508300000000000002e-02 6.506599999999999884e-02 8.304850373401112556e+09 5.783084954448138237e+09
5.785000000000000211e-03 6.007599999999999746e-02 6.007599999999999746e-02 8.702075460531604767e+09 5.783084954448138237e+09
5.785000000000000211e-03 6.007599999999999746e-02 6.506599999999999884e-02 8.457412019149435997e+09 5.783084954448138237e+09
5.785000000000000211e-03 6.007599999999999746e-02 7.006400000000000128e-02 8.535804153960665703e+09 5.783084954448138237e+09
5.785000000000000211e-03 6.506599999999999884e-02 6.506599999999999884e-02 8.212748577767265320e+09 5.783084954448138237e+09
5.785000000000000211e-03 6.506599999999999884e-02 7.006400000000000128e-02 8.291140712578495026e+09 5.783084954448138237e+09
5.785000000000000211e-03 6.506599999999999884e-02 7.506100000000000272e-02 8.029766133118809700e+09 5.783084954448138237e+09
5.785000000000000211e-03 7.006400000000000128e-02 7.006400000000000128e-02 8.369532847389725685e+09 5.783084954448138237e+09
5.785000000000000211e-03 7.006400000000000128e-02 7.506100000000000272e-02 8.108158267930041313e+09 5.783084954448138237e+09
5.785000000000000211e-03 7.006400000000000128e-02 8.005600000000000216e-02 8.019672920906883240e+09 5.783084954448138237e+09
5.785000000000000211e-03 7.506100000000000272e-02 7.506100000000000272e-02 7.846783688470355034e+09 5.783084954448138237e+09
5.785000000000000211e-03 7.506100000000000272e-02 8.005600000000000216e-02 7.758298341447198868e+09 5.783084954448138237e+09
5.785000000000000211e-03 8.005600000000000216e-02 8.005600000000000216e-02 7.669812994424042702e+09 5.783084954448138237e+09
1.042599999999999950e-02 1.042599999999999950e-02 1.042599999999999950e-02 9.639121778708187103e+09 5.783084954448138237e+09
1.042599999999999950e-02 1.042599999999999950e-02 1.528299999999999971e-02 9.562862392430234909e+09 5.783084954448138237e+09
1.042599999999999950e-02 1.042599999999999950e-02 2.021500000000000033e-02 1.011696076343968773e+10 5.783084954448138237e+09
1.042599999999999950e-02 1.042599999999999950e-02 2.516799999999999940e-02 9.596559656553144455e+09 5.783084954448138237e+09
1.042599999999999950e-02 1.528299999999999971e-02 1.528299999999999971e-02 9.486603006152282715e+09 5.783084954448138237e+09
1.042599999999999950e-02 1.528299999999999971e-02 2.021500000000000033e-02 1.004070137716173744e+10 5.783084954448138237e+09
1.042599999999999950e-02 1.528299999999999971e-02 2.516799999999999940e-02 9.520300270275194168e+09 5.783084954448138237e+09
1.042599999999999950e-02 1.528299999999999971e-02 3.012099999999999847e-02 9.558957210313119888e+09 5.783084954448138237e+09
1.042599999999999950e-02 2.021500000000000033e-02 2.021500000000000033e-02 1.059479974817119026e+10 5.783084954448138237e+09
1.042599999999999950e-02 2.021500000000000033e-02 2.516799999999999940e-02 1.007439864128464699e+10 5.783084954448138237e+09
1.042599999999999950e-02 2.021500000000000033e-02 3.012099999999999847e-02 1.011305558132257080e+10 5.783084954448138237e+09
1.042599999999999950e-02 2.021500000000000033e-02 3.511199999999999738e-02 9.759086738821445465e+09 5.783084954448138237e+09
1.042599999999999950e-02 2.516799999999999940e-02 2.516799999999999940e-02 9.553997534398105621e+09 5.783084954448138237e+09
1.042599999999999950e-02 2.516799999999999940e-02 3.012099999999999847e-02 9.592654474436029434e+09 5.783084954448138237e+09
1.042599999999999950e-02 2.516799999999999940e-02 3.511199999999999738e-02 9.238685631934902191e+09 5.783084954448138237e+09
1.042599999999999950e-02 2.516799999999999940e-02 4.010899999999999882e-02 8.645359081236246109e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.012099999999999847e-02 3.012099999999999847e-02 9.631311414473955154e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.012099999999999847e-02 3.511199999999999738e-02 9.277342571972826004e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.012099999999999847e-02 4.010899999999999882e-02 8.684016021274171829e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.012099999999999847e-02 4.509300000000000114e-02 8.372472414565937996e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.511199999999999738e-02 3.511199999999999738e-02 8.923373729471700668e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.511199999999999738e-02 4.010899999999999882e-02 8.330047178773043633e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.511199999999999738e-02 4.509300000000000114e-02 8.018503572064809799e+09 5.783084954448138237e+09
1.042599999999999950e-02 3.511199999999999738e-02 5.008300000000000252e-02 7.862584760041897774e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.010899999999999882e-02 4.010899999999999882e-02 7.736720628074387550e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.010899999999999882e-02 4.509300000000000114e-02 7.425177021366154671e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.010899999999999882e-02 5.008300000000000252e-02 7.269258209343242645e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.010899999999999882e-02 5.508300000000000002e-02 7.098326964189207077e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.509300000000000114e-02 4.509300000000000114e-02 7.113633414657921791e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.509300000000000114e-02 5.008300000000000252e-02 6.957714602635009766e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.509300000000000114e-02 5.508300000000000002e-02 6.786783357480974197e+09 5.783084954448138237e+09
1.042599999999999950e-02 4.509300000000000114e-02 6.007599999999999746e-02 6.939345003229295731e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.008300000000000252e-02 5.008300000000000252e-02 6.801795790612097740e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.008300000000000252e-02 5.508300000000000002e-02 6.630864545458062172e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.008300000000000252e-02 6.007599999999999746e-02 6.783426191206383705e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.008300000000000252e-02 6.506599999999999884e-02 6.538762749824213982e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.508300000000000002e-02 5.508300000000000002e-02 6.459933300304026604e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.508300000000000002e-02 6.007599999999999746e-02 6.612494946052348137e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.508300000000000002e-02 6.506599999999999884e-02 6.367831504670178413e+09 5.783084954448138237e+09
1.042599999999999950e-02 5.508300000000000002e-02 7.006400000000000128e-02 6.446223639481408119e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.007599999999999746e-02 6.007599999999999746e-02 6.765056591800670624e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.007599999999999746e-02 6.506599999999999884e-02 6.520393150418499947e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.007599999999999746e-02 7.006400000000000128e-02 6.598785285229729652e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.007599999999999746e-02 7.506100000000000272e-02 6.337410705770045280e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.506599999999999884e-02 6.506599999999999884e-02 6.275729709036329269e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.506599999999999884e-02 7.006400000000000128e-02 6.354121843847559929e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.506599999999999884e-02 7.506100000000000272e-02 6.092747264387874603e+09 5.783084954448138237e+09
1.042599999999999950e-02 6.506599999999999884e-02 8.005600000000000216e-02 6.004261917364718437e+09 5.783084954448138237e+09
1.042599999999999950e-02 7.006400000000000128e-02 7.006400000000000128e-02 6.432513978658790588e+09 5.783084954448138237e+09
1.042599999999999950e-02 7.006400000000000128e-02 7.506100000000000272e-02 6.171139399199105263e+09 5.783084954448138237e+09
1.042599999999999950e-02 7.006400000000000128e-02 8.005600000000000216e-02 6.082654052175949097e+09 5.783084954448138237e+09
1.042599999999999950e-02 7.506100000000000272e-02 7.506100000000000272e-02 5.909764819739419937e+09 5.783084954448138237e+09
1.042599999999999950e-02 7.506100000000000272e-02 8.005600000000000216e-02 5.821279472716263771e+09 5.783084954448138237e+09
1.042599999999999950e-02 8.005600000000000216e-02 8.005600000000000216e-02 5.732794125693107605e+09 5.783084954448138237e+09
1.528299999999999971e-02 1.528299999999999971e-02 1.528299999999999971e-02 9.410343619874334335e+09 5.783084954448138237e+09
1.528299999999999971e-02 1.528299999999999971e-02 2.021500000000000033e-02 9.964441990883785248e+09 5.783084954448138237e+09
1.528299999999999971e-02 1.528299999999999971e-02 2.516799999999999940e-02 9.444040883997243881e+09 5.783084954448138237e+09
1.528299999999999971e-02 1.528299999999999971e-02 3.012099999999999847e-02 9.482697824035167694e+09 5.783084954448138237e+09
1.528299999999999971e-02 1.528299999999999971e-02 3.511199999999999738e-02 9.128728981534040451e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.021500000000000033e-02 2.021500000000000033e-02 1.051854036189323807e+10 5.783084954448138237e+09
1.528299999999999971e-02 2.021500000000000033e-02 2.516799999999999940e-02 9.998139255006696701e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.021500000000000033e-02 3.012099999999999847e-02 1.003679619504462051e+10 5.783084954448138237e+09
1.528299999999999971e-02 2.021500000000000033e-02 3.511199999999999738e-02 9.682827352543493271e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.021500000000000033e-02 4.010899999999999882e-02 9.089500801844837189e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.516799999999999940e-02 2.516799999999999940e-02 9.477738148120153427e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.516799999999999940e-02 3.012099999999999847e-02 9.516395088158077240e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.516799999999999940e-02 3.511199999999999738e-02 9.162426245656951904e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.516799999999999940e-02 4.010899999999999882e-02 8.569099694958294868e+09 5.783084954448138237e+09
1.528299999999999971e-02 2.516799999999999940e-02 4.509300000000000114e-02 8.257556088250061989e+09 5.783084954448138237e+09
1.528299999999999971e-02 3.012099999999999847e-02 3.012099999999999847e-02 9.555052028196002960e+09 5.783084954448138237e+09
1.528299999999999971e-02 3.012099999999999847e-02 3.511199999999999738e-02 9.201083185694875717e+09 5.783084954448138237e+09
1.528299999999999971e-02 3.012099999999999847e-02 4.010899999999999882e-02 8.607756634996219635e+09 5.783084954448138237e+09
