# T(k1,k2,k3) at z_eff=1.4677 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s3rebin/models/k_eff-bisp.txt 
#  Tk(k1) Tk(k2) Tk(k3)
7.600640337286161952e-01 7.081685995731350491e-01 6.886953073992303498e-01
7.089952738874456539e-01 6.768268333890102850e-01 5.225178507862702215e-01
7.278731939500402426e-01 5.095405836527433507e-01 4.689210617000499348e-01
5.249688415812632236e-01 4.832401609123866959e-01 4.561030980212605890e-01
6.711006694748640200e-01 6.711006694748640200e-01 3.776690540041844346e-01
6.998849247207095114e-01 4.597528234949144754e-01 3.508541731469658753e-01
5.077674331257122642e-01 4.602812978958868428e-01 3.298519659181045616e-01
7.276543296623918522e-01 3.391150555471246775e-01 3.154460440362673035e-01
4.907714385585131289e-01 3.414489673851826002e-01 3.142917089694486910e-01
3.487480451419386340e-01 3.238825350748061327e-01 3.087706839282848836e-01
6.711006694748640200e-01 4.344021473343517292e-01 2.679362554218407411e-01
4.670926053346184936e-01 4.396254586237858253e-01 2.542679639943727921e-01
6.997542270950456444e-01 3.097623186947677243e-01 2.552669459838893262e-01
4.851239087651612047e-01 3.235849593657574852e-01 2.467271728264986419e-01
3.414488953647650260e-01 3.142917282179203409e-01 2.455413147758115366e-01
7.276173953726131627e-01 2.506375027856497795e-01 2.398568769247320653e-01
4.907717050300790529e-01 2.515476135922542489e-01 2.392377573332993279e-01
3.268952971761135418e-01 2.515475927641610543e-01 2.392377673752572320e-01
2.545615075057776067e-01 2.446470073078190199e-01 2.364433137941241436e-01
4.344021473343516737e-01 4.344021473343516737e-01 2.147716009540600324e-01
6.711006694748640200e-01 2.959907301344977815e-01 2.147716009540600324e-01
4.584558847306663965e-01 3.091122596299556990e-01 2.076082473545918794e-01
3.376971242716061972e-01 3.104998828810613398e-01 2.011690683229870324e-01
6.997064378407736873e-01 2.367685686010381207e-01 2.072658262259282624e-01
4.850419900663438533e-01 2.442076647203695883e-01 2.010310900688618285e-01
3.268953614502247973e-01 2.455412935833753141e-01 2.001471117317113746e-01
2.515476032491844038e-01 2.392377663561283951e-01 2.001471156015669217e-01
7.275891324753667178e-01 2.039273365976100039e-01 1.959510293922563096e-01
4.907718509433833809e-01 2.045802862070270067e-01 1.954145903311776122e-01
3.268953024250723649e-01 2.045803073731308486e-01 1.954145925067125311e-01
2.455413059032192646e-01 2.045802958483387279e-01 1.954146018192859380e-01
2.068098628587853316e-01 1.996285939633729301e-01 1.930730145887568083e-01
