# (k1,k2,k3) at z_eff=1.4677 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s3rebin/models/k_eff-bisp.txt 
#  Minv(k1) Minv(k2) Minv(k3)
1.438607725716513092e-03 1.031663295756736530e-03 9.208704553438159949e-04
1.036904175103800984e-03 8.636204359360167247e-04 4.441078953722497132e-04
1.161174991046255104e-03 4.253882899999227442e-04 3.724247047982419010e-04
4.478851035763794868e-04 3.926842141711985945e-04 3.564605606537795996e-04
8.383483903238485909e-04 8.383483903238485909e-04 2.822324182747584071e-04
9.816922674770718962e-04 3.608132610494740595e-04 2.598848607422934607e-04
4.229888805628489925e-04 3.614558938021919282e-04 2.465719553795431176e-04
1.159618412581872593e-03 2.520361203958162793e-04 2.352652105583806995e-04
4.017443175685689837e-04 2.535119228110831830e-04 2.341355395347731482e-04
2.583969737281153751e-04 2.433702855712190115e-04 2.289622619823603739e-04
8.383483903238488077e-04 3.334254127818205384e-04 1.955317461311320939e-04
3.700288106426286548e-04 3.385513351076388814e-04 1.834317570751706336e-04
9.809393117620006635e-04 2.298640672489310943e-04 1.845386680356071523e-04
3.953400717908470228e-04 2.432170181585787793e-04 1.756489246840370051e-04
2.535118766378037362e-04 2.341355582303311081e-04 1.745121600750681491e-04
1.159356103565485239e-03 1.795618081798849234e-04 1.691087191110113329e-04
4.017446270825081474e-04 1.805099295517065792e-04 1.684274555424688645e-04
2.449556908933554268e-04 1.805099076876907460e-04 1.684274665310586769e-04
1.837550900951471816e-04 1.736697352313968897e-04 1.654450031036800318e-04
3.334254127818205384e-04 3.334254127818205384e-04 1.445254601914631456e-04
8.383483903238488077e-04 2.183398783741290043e-04 1.445254601914631456e-04
3.592495260733162728e-04 2.292715698155960960e-04 1.384814623954842925e-04
2.511593571653661155e-04 2.305424724750902233e-04 1.335828776379426898e-04
9.806642595747146023e-04 1.657845020802968907e-04 1.382051467715175155e-04
3.952494289427626261e-04 1.732604984090645942e-04 1.334831493087470025e-04
2.449557253746022234e-04 1.745121399616765382e-04 1.328507028869126583e-04
1.805099186942046971e-04 1.684274654158588933e-04 1.328507056312226730e-04
1.159155451296875125e-03 1.356061598294570718e-04 1.299973129242687952e-04
4.017447965650600551e-04 1.361011514942952615e-04 1.296497310079296899e-04
2.449556937092726310e-04 1.361011676434516822e-04 1.296497324098324266e-04
1.745121516542363005e-04 1.361011588503507235e-04 1.296497384108040104e-04
1.378400691768353703e-04 1.324848988584275908e-04 1.281765917357661545e-04
