# P_lin(k1,k2,k3) at z_eff=1.4677 NGC ks grid in /home/marina/eBOSS-QSO-DR16/bis-fits/input-s3rebin/models/k_eff-bisp.txt 
#  P_lin(k1) P_lin(k2) P_lin(k3)
5.795517382677040587e+03 6.109411519809664242e+03 6.176876657212348618e+03
6.105866722656865022e+03 6.203729732234791300e+03 5.741277104505707939e+03
6.014939580628999465e+03 5.647014476577329333e+03 5.299373379243259478e+03
5.758546385775998715e+03 5.441446600127190322e+03 5.169806190363232417e+03
6.213067549080971730e+03 6.213067549080971730e+03 4.325785180142405807e+03
6.141810730742638043e+03 5.206837796688000708e+03 4.008954653412912194e+03
5.633793807073536300e+03 5.212192726841723015e+03 3.787475868871823423e+03
6.016134078162179321e+03 3.882103234468008395e+03 3.620311035084159812e+03
5.503485306305140512e+03 3.906713897039760013e+03 3.605381873744110635e+03
3.985638127817595887e+03 3.729115643823281516e+03 3.536154225236280126e+03
6.213067549080971730e+03 4.949137654790793022e+03 3.094343329261238978e+03
5.280990418480490916e+03 5.002179955116616838e+03 2.959741720836891545e+03
6.142277160051203282e+03 3.548325622152795404e+03 2.970537104708920651e+03
5.458906847031330472e+03 3.726260739257376372e+03 2.883467937577854173e+03
3.906713132880168814e+03 3.605382121362222733e+03 2.872216556066629437e+03
6.016335279303168136e+03 2.921934395411277364e+03 2.819160157161707502e+03
5.503487395864457540e+03 2.931211530187687458e+03 2.812909451421488939e+03
3.758310901522243057e+03 2.931211316392219032e+03 2.812909552411055756e+03
2.962895481948536144e+03 2.863849272750604541e+03 2.785265792935125319e+03
4.949137654790791203e+03 4.949137654790791203e+03 2.571759009337170028e+03
6.213067549080971730e+03 3.389260634203249083e+03 2.571759009337170028e+03
5.193687896992014430e+03 3.540333884027164459e+03 2.494142751526893335e+03
3.867301329142497707e+03 3.557452619036826036e+03 2.419605663456755792e+03
6.142447366724050880e+03 2.788438781361564907e+03 2.490276831933053927e+03
5.458256037798261787e+03 2.859774620197906188e+03 2.417950971381444106e+03
3.758311530014846994e+03 2.872216356604664270e+03 2.407301820397428855e+03
2.931211424018503749e+03 2.812909542161919944e+03 2.407301867199187654e+03
6.016489169464994120e+03 2.452030931567800963e+03 2.355617437077076374e+03
5.503488540055405792e+03 2.459593091200486924e+03 2.348874947098720440e+03
3.758310952848213674e+03 2.459593335671572277e+03 2.348874974504952206e+03
2.872216472558305668e+03 2.459593202558819939e+03 2.348875091819797035e+03
2.485113167045323280e+03 2.401016583969401381e+03 2.319086110607816408e+03
