# Growh factor and growth rate 
#  z Dz fz
9.999999999999900000e+13 9.999999999999998410e-15 1.000000000000000000e+00
9.930486593842995312e+13 1.007000000000000152e-14 1.000000000000000000e+00
9.861456399049643750e+13 1.014049000000000476e-14 1.000000000000000000e+00
9.792906056653067188e+13 1.021147343000000910e-14 1.000000000000000000e+00
9.724832231035810938e+13 1.028295374401001476e-14 1.000000000000000000e+00
9.657231609767434375e+13 1.035493442021808810e-14 1.000000000000000000e+00
9.590100903443326562e+13 1.042741896115961954e-14 1.000000000000000000e+00
9.523436845524650000e+13 1.050041089388774123e-14 1.000000000000000000e+00
9.457236192179389062e+13 1.057391377014495792e-14 1.000000000000000000e+00
9.391495722124512500e+13 1.064793116653598006e-14 1.000000000000000000e+00
9.326212236469221875e+13 1.072246668470173551e-14 1.000000000000000000e+00
9.261382558559301562e+13 1.079752395149465284e-14 1.000000000000000000e+00
9.197003533822539062e+13 1.087310661915512160e-14 1.000000000000000000e+00
9.133072029615228125e+13 1.094921836548921008e-14 1.000000000000000000e+00
9.069584935069734375e+13 1.102586289404764208e-14 1.000000000000000000e+00
9.006539160943128125e+13 1.110304393430597905e-14 1.000000000000000000e+00
8.943931639466854688e+13 1.118076524184612908e-14 1.000000000000000000e+00
8.881759324197465625e+13 1.125903059853905973e-14 1.000000000000000000e+00
8.820019189868382812e+13 1.133784381272883450e-14 1.000000000000000000e+00
8.758708232242678125e+13 1.141720871941794473e-14 1.000000000000000000e+00
8.697823467966906250e+13 1.149712918045387514e-14 1.000000000000000000e+00
8.637361934425920312e+13 1.157760908471705627e-14 1.000000000000000000e+00
8.577320689598723438e+13 1.165865234831008225e-14 1.000000000000000000e+00
8.517696811915312500e+13 1.174026291474825857e-14 1.000000000000000000e+00
8.458487400114506250e+13 1.182244475515150035e-14 1.000000000000000000e+00
8.399689573102781250e+13 1.190520186843756703e-14 1.000000000000000000e+00
8.341300469814078125e+13 1.198853828151663801e-14 1.000000000000000000e+00
8.283317249070579688e+13 1.207245804948725944e-14 1.000000000000000000e+00
8.225737089444464062e+13 1.215696525583367459e-14 1.000000000000000000e+00
8.168557189120614062e+13 1.224206401262451740e-14 1.000000000000000000e+00
8.111774765760289062e+13 1.232775846071289128e-14 1.000000000000000000e+00
8.055387056365723438e+13 1.241405276993789153e-14 1.000000000000000000e+00
7.999391317145698438e+13 1.250095113932746405e-14 1.000000000000000000e+00
7.943784823382020312e+13 1.258845779730276135e-14 1.000000000000000000e+00
7.888564869296935938e+13 1.267657700188388852e-14 1.000000000000000000e+00
7.833728767921479688e+13 1.276531304089708177e-14 1.000000000000000000e+00
7.779273850964723438e+13 1.285467023218336843e-14 1.000000000000000000e+00
7.725197468683929688e+13 1.294465292380866116e-14 1.000000000000000000e+00
7.671496989755635938e+13 1.303526549427532725e-14 1.000000000000000000e+00
7.618169801147598438e+13 1.312651235273525997e-14 1.000000000000000000e+00
7.565213307991651562e+13 1.321839793920441402e-14 1.000000000000000000e+00
7.512624933457445312e+13 1.331092672477885244e-14 1.000000000000000000e+00
7.460402118627051562e+13 1.340410321185231131e-14 1.000000000000000000e+00
7.408542322370453125e+13 1.349793193433528535e-14 1.000000000000000000e+00
7.357043021221895312e+13 1.359241745787563758e-14 1.000000000000000000e+00
7.305901709257090625e+13 1.368756438008077571e-14 1.000000000000000000e+00
7.255115897971285938e+13 1.378337733074135100e-14 1.000000000000000000e+00
7.204683116158173438e+13 1.387986097205655063e-14 1.000000000000000000e+00
7.154600909789642188e+13 1.397701999886095040e-14 1.000000000000000000e+00
7.104866841896362500e+13 1.407485913885298624e-14 1.000000000000000000e+00
