# Growh factor and growth rate 
#  z Dz fz
7.055478492449214062e+13 1.417338315282496395e-14 1.000000000000000000e+00
7.006433458241517188e+13 1.427259683489474921e-14 1.000000000000000000e+00
6.957729352772107812e+13 1.437250501273902113e-14 1.000000000000000000e+00
6.909363806129198438e+13 1.447311254782820296e-14 1.000000000000000000e+00
6.861334464875067969e+13 1.457442433566300987e-14 1.000000000000000000e+00
6.813638991931542188e+13 1.467644530601265970e-14 1.000000000000000000e+00
6.766275066466274219e+13 1.477918042315475613e-14 1.000000000000000000e+00
6.719240383779809375e+13 1.488263468611685049e-14 1.000000000000000000e+00
6.672532655193451562e+13 1.498681312891967598e-14 1.000000000000000000e+00
6.626149607937881250e+13 1.509172082082212369e-14 1.000000000000000000e+00
6.580088985042578125e+13 1.519736286656788785e-14 1.000000000000000000e+00
6.534348545225991406e+13 1.530374440663387180e-14 1.000000000000000000e+00
6.488926062786481250e+13 1.541087061748032007e-14 1.000000000000000000e+00
6.443819327494017969e+13 1.551874671180269210e-14 1.000000000000000000e+00
6.399026144482635938e+13 1.562737793878531899e-14 1.000000000000000000e+00
6.354544334143625000e+13 1.573676958435682711e-14 1.000000000000000000e+00
6.310371732019483594e+13 1.584692697144733521e-14 1.000000000000000000e+00
6.266506188698589844e+13 1.595785546024747529e-14 1.000000000000000000e+00
6.222945569710610156e+13 1.606956044846921844e-14 1.000000000000000000e+00
6.179687755422646875e+13 1.618204737160851501e-14 1.000000000000000000e+00
6.136730640936088281e+13 1.629532170320978705e-14 1.000000000000000000e+00
6.094072135984194531e+13 1.640938895513226671e-14 1.000000000000000000e+00
6.051710164830377344e+13 1.652425467781820262e-14 1.000000000000000000e+00
6.009642666167202344e+13 1.663992446056294061e-14 1.000000000000000000e+00
5.967867593016085156e+13 1.675640393178689140e-14 1.000000000000000000e+00
5.926382912627686719e+13 1.687369875930941052e-14 1.000000000000000000e+00
5.885186606383001562e+13 1.699181465062458718e-14 1.000000000000000000e+00
5.844276669695131250e+13 1.711075735317897068e-14 1.000000000000000000e+00
5.803651111911744531e+13 1.723053265465123422e-14 1.000000000000000000e+00
5.763307956218212500e+13 1.735114638323380452e-14 1.000000000000000000e+00
5.723245239541417188e+13 1.747260440791645423e-14 1.000000000000000000e+00
5.683461012454232812e+13 1.759491263877188211e-14 1.000000000000000000e+00
5.643953339080663281e+13 1.771807702724330023e-14 1.000000000000000000e+00
5.604720297001646094e+13 1.784210356643401848e-14 1.000000000000000000e+00
5.565759977161510156e+13 1.796699829139907064e-14 1.000000000000000000e+00
5.527070483775079688e+13 1.809276727943887894e-14 1.000000000000000000e+00
5.488649934235425781e+13 1.821941665039496644e-14 1.000000000000000000e+00
5.450496459022265625e+13 1.834695256694774569e-14 1.000000000000000000e+00
5.412608201610983594e+13 1.847538123491639321e-14 1.000000000000000000e+00
5.374983318382303125e+13 1.860470890356082222e-14 1.000000000000000000e+00
5.337619978532570312e+13 1.873494186588576019e-14 1.000000000000000000e+00
5.300516363984673438e+13 1.886608645894697512e-14 1.000000000000000000e+00
5.263670669299571875e+13 1.899814906415961607e-14 1.000000000000000000e+00
5.227081101588447656e+13 1.913113610760874981e-14 1.000000000000000000e+00
5.190745880425464062e+13 1.926505406036202739e-14 1.000000000000000000e+00
5.154663237761132031e+13 1.939990943878457540e-14 1.000000000000000000e+00
5.118831417836273438e+13 1.953570880485608327e-14 1.000000000000000000e+00
5.083248677096592188e+13 1.967245876649009318e-14 1.000000000000000000e+00
5.047913284107832031e+13 1.981016597785553975e-14 1.000000000000000000e+00
5.012823519471526562e+13 1.994883713970054591e-14 1.000000000000000000e+00
4.977977675741332812e+13 2.008847899967846539e-14 1.000000000000000000e+00
4.943374057339947656e+13 2.022909835267623191e-14 1.000000000000000000e+00
4.909010980476607031e+13 2.037070204114498338e-14 1.000000000000000000e+00
4.874886773065146094e+13 2.051329695543301483e-14 1.000000000000000000e+00
4.840999774642642969e+13 2.065689003412106329e-14 1.000000000000000000e+00
4.807348336288617969e+13 2.080148826435992756e-14 1.000000000000000000e+00
4.773930820544799219e+13 2.094709868221046415e-14 1.000000000000000000e+00
4.740745601335446875e+13 2.109372837298595291e-14 1.000000000000000000e+00
4.707791063888224219e+13 2.124138447159687656e-14 1.000000000000000000e+00
4.675065604655629688e+13 2.139007416289807316e-14 1.000000000000000000e+00
4.642567631236966406e+13 2.153980468203837814e-14 1.000000000000000000e+00
4.610295562300856250e+13 2.169058331481266143e-14 1.000000000000000000e+00
4.578247827508292969e+13 2.184241739801637308e-14 1.000000000000000000e+00
4.546422867436235156e+13 2.199531431980250282e-14 1.000000000000000000e+00
4.514819133501717188e+13 2.214928152004114599e-14 1.000000000000000000e+00
4.483435087886507031e+13 2.230432649068145190e-14 1.000000000000000000e+00
4.452269203462265625e+13 2.246045677611624796e-14 1.000000000000000000e+00
4.421319963716247656e+13 2.261767997354908082e-14 1.000000000000000000e+00
4.390585862677500000e+13 2.277600373336394611e-14 1.000000000000000000e+00
4.360065404843590625e+13 2.293543575949751392e-14 1.000000000000000000e+00
4.329757105107830469e+13 2.309598380981401771e-14 1.000000000000000000e+00
4.299659488687016406e+13 2.325765569648273993e-14 1.000000000000000000e+00
4.269771091049664062e+13 2.342045928635814206e-14 1.000000000000000000e+00
4.240090457844746094e+13 2.358440250136267354e-14 1.000000000000000000e+00
4.210616144830925000e+13 2.374949331887223447e-14 1.000000000000000000e+00
4.181346717806276562e+13 2.391573977210436143e-14 1.000000000000000000e+00
4.152280752538503125e+13 2.408314995050910488e-14 1.000000000000000000e+00
4.123416834695628906e+13 2.425173200016269603e-14 1.000000000000000000e+00
4.094753559777183594e+13 2.442149412416386109e-14 1.000000000000000000e+00
4.066289533045857812e+13 2.459244458303302905e-14 1.000000000000000000e+00
4.038023369459635156e+13 2.476459169511429100e-14 1.000000000000000000e+00
4.009953693604399219e+13 2.493794383698012055e-14 1.000000000000000000e+00
3.982079139627005469e+13 2.511250944383900343e-14 1.000000000000000000e+00
3.954398351168818750e+13 2.528829700994590710e-14 1.000000000000000000e+00
3.926909981299716406e+13 2.546531508901554922e-14 1.000000000000000000e+00
3.899612692452542969e+13 2.564357229463869212e-14 1.000000000000000000e+00
3.872505156358032812e+13 2.582307730070118258e-14 1.000000000000000000e+00
3.845586053980166406e+13 2.600383884180611868e-14 1.000000000000000000e+00
3.818854075451997656e+13 2.618586571369879330e-14 1.000000000000000000e+00
3.792307920011909375e+13 2.636916677369471118e-14 1.000000000000000000e+00
3.765946295940321875e+13 2.655375094111060675e-14 1.000000000000000000e+00
3.739767920496839844e+13 2.673962719769840592e-14 1.000000000000000000e+00
3.713771519857829688e+13 2.692680458808232766e-14 1.000000000000000000e+00
3.687955829054444531e+13 2.711529222019892633e-14 1.000000000000000000e+00
3.662319591911061719e+13 2.730509926574035585e-14 1.000000000000000000e+00
3.636861560984167969e+13 2.749623496060056829e-14 1.000000000000000000e+00
3.611580497501651562e+13 2.768870860532480055e-14 1.000000000000000000e+00
3.586475171302528906e+13 2.788252956556211228e-14 1.000000000000000000e+00
3.561544360777085156e+13 2.807770727252106982e-14 1.000000000000000000e+00
3.536786852807428125e+13 2.827425122342875282e-14 1.000000000000000000e+00
3.512201442708463672e+13 2.847217098199279633e-14 1.000000000000000000e+00
3.487786934169273828e+13 2.867147617886677461e-14 1.000000000000000000e+00
3.463542139194904688e+13 2.887217651211887600e-14 1.000000000000000000e+00
3.439465878048559766e+13 2.907428174770374272e-14 1.000000000000000000e+00
3.415556979194195312e+13 2.927780171993770589e-14 1.000000000000000000e+00
3.391814279239514453e+13 2.948274633197730230e-14 1.000000000000000000e+00
3.368236622879353906e+13 2.968912555630118003e-14 1.000000000000000000e+00
3.344822862839473047e+13 2.989694943519532364e-14 1.000000000000000000e+00
3.321571859820722656e+13 3.010622808124173142e-14 1.000000000000000000e+00
3.298482482443612500e+13 3.031697167781046268e-14 1.000000000000000000e+00
3.275553607193254688e+13 3.052919047955517485e-14 1.000000000000000000e+00
3.252784118364697266e+13 3.074289481291210016e-14 1.000000000000000000e+00
3.230172908008631641e+13 3.095809507660252477e-14 1.000000000000000000e+00
3.207718875877484375e+13 3.117480174213878308e-14 1.000000000000000000e+00
3.185420929371876953e+13 3.139302535433379246e-14 1.000000000000000000e+00
3.163277983487459375e+13 3.161277653181417256e-14 1.000000000000000000e+00
3.141288960762119922e+13 3.183406596753691134e-14 1.000000000000000000e+00
3.119452791223550391e+13 3.205690442930971033e-14 1.000000000000000000e+00
3.097768412337185547e+13 3.228130276031492084e-14 1.000000000000000000e+00
3.076234768954499219e+13 3.250727187963716563e-14 1.000000000000000000e+00
3.054850813261662891e+13 3.273482278279467149e-14 1.000000000000000000e+00
3.033615504728557812e+13 3.296396654227428098e-14 1.000000000000000000e+00
3.012527810058146094e+13 3.319471430807024445e-14 1.000000000000000000e+00
2.991586703136188281e+13 3.342707730822677964e-14 1.000000000000000000e+00
2.970791164981313672e+13 3.366106684938441780e-14 1.000000000000000000e+00
2.950140183695440234e+13 3.389669431733016159e-14 1.000000000000000000e+00
2.929632754414533984e+13 3.413397117755151789e-14 1.000000000000000000e+00
2.909267879259710938e+13 3.437290897579443070e-14 1.000000000000000000e+00
2.889044567288684766e+13 3.461351933862504479e-14 1.000000000000000000e+00
2.868961834447547266e+13 3.485581397399547039e-14 1.000000000000000000e+00
2.849018703522882031e+13 3.509980467181349229e-14 1.000000000000000000e+00
2.829214204094217969e+13 3.534550330451623573e-14 1.000000000000000000e+00
2.809547372486805078e+13 3.559292182764790294e-14 1.000000000000000000e+00
2.790017251724727344e+13 3.584207228044149176e-14 1.000000000000000000e+00
2.770622891484332031e+13 3.609296678640463531e-14 1.000000000000000000e+00
2.751363348047991016e+13 3.634561755390952480e-14 1.000000000000000000e+00
2.732237684258178906e+13 3.660003687678694704e-14 1.000000000000000000e+00
2.713244969471871484e+13 3.685623713492450606e-14 1.000000000000000000e+00
2.694384279515259766e+13 3.711423079486903514e-14 1.000000000000000000e+00
2.675654696638783594e+13 3.737403041043317410e-14 1.000000000000000000e+00
2.657055309472471484e+13 3.763564862330626313e-14 1.000000000000000000e+00
2.638585212981595312e+13 3.789909816366947131e-14 1.000000000000000000e+00
2.620243508422632031e+13 3.816439185081521650e-14 1.000000000000000000e+00
2.602029303299530469e+13 3.843154259377098393e-14 1.000000000000000000e+00
2.583941711320283594e+13 3.870056339192744245e-14 1.000000000000000000e+00
2.565979852353801953e+13 3.897146733567099746e-14 1.000000000000000000e+00
2.548142852387087500e+13 3.924426760702076131e-14 1.000000000000000000e+00
2.530429843482703516e+13 3.951897748026997299e-14 1.000000000000000000e+00
2.512839963736542578e+13 3.979561032263193002e-14 1.000000000000000000e+00
2.495372357235886719e+13 4.007417959489041379e-14 1.000000000000000000e+00
2.478026174017757422e+13 4.035469885205471542e-14 1.000000000000000000e+00
2.460800570027559766e+13 4.063718174401916769e-14 1.000000000000000000e+00
2.443694707078008984e+13 4.092164201622737222e-14 1.000000000000000000e+00
2.426707752808345703e+13 4.120809351034103363e-14 1.000000000000000000e+00
2.409838880643834375e+13 4.149655016491348262e-14 1.000000000000000000e+00
2.393087269755540625e+13 4.178702601606795127e-14 1.000000000000000000e+00
2.376452105020392969e+13 4.207953519818049932e-14 1.000000000000000000e+00
2.359932576981517188e+13 4.237409194456783782e-14 1.000000000000000000e+00
2.343527881808850781e+13 4.267071058817988589e-14 1.000000000000000000e+00
2.327237221260025391e+13 4.296940556229723102e-14 1.000000000000000000e+00
2.311059802641530078e+13 4.327019140123338569e-14 1.000000000000000000e+00
2.294994838770133984e+13 4.357308274104210530e-14 1.000000000000000000e+00
2.279041547934587500e+13 4.387809432022947080e-14 1.000000000000000000e+00
2.263199153857579297e+13 4.418524098047115893e-14 1.000000000000000000e+00
2.247466885657968750e+13 4.449453766733454021e-14 1.000000000000000000e+00
2.231843977813271094e+13 4.480599943100595824e-14 1.000000000000000000e+00
2.216329670122409375e+13 4.511964142702308920e-14 1.000000000000000000e+00
2.200923207668723438e+13 4.543547891701232488e-14 1.000000000000000000e+00
2.185623840783235547e+13 4.575352726943151359e-14 1.000000000000000000e+00
2.170430825008173438e+13 4.607380196031762361e-14 1.000000000000000000e+00
2.155343421060742969e+13 4.639631857403994759e-14 1.000000000000000000e+00
2.140360894797158594e+13 4.672109280405829883e-14 1.000000000000000000e+00
2.125482517176915234e+13 4.704814045368680539e-14 1.000000000000000000e+00
2.110707564227318750e+13 4.737747743686271492e-14 1.000000000000000000e+00
2.096035317008256250e+13 4.770911977892084155e-14 1.000000000000000000e+00
2.081465061577210938e+13 4.804308361737338331e-14 1.000000000000000000e+00
2.066996088954524219e+13 4.837938520269509743e-14 1.000000000000000000e+00
2.052627695088897266e+13 4.871804089911405452e-14 1.000000000000000000e+00
2.038359180823130469e+13 4.905906718540795268e-14 1.000000000000000000e+00
2.024189851860105078e+13 4.940248065570590935e-14 1.000000000000000000e+00
2.010119018728997266e+13 4.974829802029595199e-14 1.000000000000000000e+00
1.996145996751730469e+13 5.009653610643811279e-14 1.000000000000000000e+00
1.982270106009657812e+13 5.044721185918329154e-14 1.000000000000000000e+00
1.968490671310479688e+13 5.080034234219768465e-14 1.000000000000000000e+00
1.954807022155387500e+13 5.115594473859315915e-14 1.000000000000000000e+00
1.941218492706437109e+13 5.151403635176343254e-14 1.000000000000000000e+00
1.927724421754153125e+13 5.187463460622590104e-14 1.000000000000000000e+00
1.914324152685350781e+13 5.223775704846958931e-14 1.000000000000000000e+00
1.901017033451187891e+13 5.260342134780898193e-14 1.000000000000000000e+00
1.887802416535435156e+13 5.297164529724376188e-14 1.000000000000000000e+00
1.874679658922969531e+13 5.334244681432457594e-14 1.000000000000000000e+00
1.861648122068485156e+13 5.371584394202497209e-14 1.000000000000000000e+00
1.848707171865422266e+13 5.409185484961926918e-14 1.000000000000000000e+00
1.835856178615111719e+13 5.447049783356673115e-14 1.000000000000000000e+00
1.823094516996133984e+13 5.485179131840181237e-14 1.000000000000000000e+00
1.810421566033891797e+13 5.523575385763075800e-14 1.000000000000000000e+00
1.797836709070394531e+13 5.562240413463428802e-14 1.000000000000000000e+00
1.785339333734250000e+13 5.601176096357685731e-14 1.000000000000000000e+00
1.772928831910868750e+13 5.640384329032203716e-14 1.000000000000000000e+00
1.760604599712873828e+13 5.679867019335442234e-14 1.000000000000000000e+00
1.748366037450714258e+13 5.719626088470802571e-14 1.000000000000000000e+00
1.736212549603485156e+13 5.759663471090111623e-14 1.000000000000000000e+00
1.724143544789950586e+13 5.799981115387756359e-14 1.000000000000000000e+00
1.712158435739767578e+13 5.840580983195484069e-14 1.000000000000000000e+00
1.700256639264908594e+13 5.881465050077865898e-14 1.000000000000000000e+00
1.688437576231284766e+13 5.922635305428425537e-14 1.000000000000000000e+00
1.676700671530565820e+13 5.964093752566439406e-14 1.000000000000000000e+00
1.665045354052195508e+13 6.005842408834419659e-14 1.000000000000000000e+00
1.653471056655601758e+13 6.047883305696274993e-14 1.000000000000000000e+00
1.641977216142598633e+13 6.090218488836164381e-14 1.000000000000000000e+00
1.630563273229983789e+13 6.132850018258033650e-14 1.000000000000000000e+00
1.619228672522322656e+13 6.175779968385855088e-14 1.000000000000000000e+00
1.607972862484923633e+13 6.219010428164571351e-14 1.000000000000000000e+00
1.596795295416999609e+13 6.262543501161739871e-14 1.000000000000000000e+00
1.585695427425019727e+13 6.306381305669887877e-14 1.000000000000000000e+00
1.574672718396241406e+13 6.350525974809593162e-14 1.000000000000000000e+00
1.563726631972429688e+13 6.394979656633276725e-14 1.000000000000000000e+00
1.552856635523758594e+13 6.439744514229726207e-14 1.000000000000000000e+00
1.542062200122893555e+13 6.484822725829351393e-14 1.000000000000000000e+00
1.531342800519253906e+13 6.530216484910174302e-14 1.000000000000000000e+00
1.520697915113455078e+13 6.575928000304562699e-14 1.000000000000000000e+00
1.510127025931926953e+13 6.621959496306712076e-14 1.000000000000000000e+00
1.499629618601710156e+13 6.668313212780877370e-14 1.000000000000000000e+00
1.489205182325427344e+13 6.714991405270361983e-14 1.000000000000000000e+00
1.478853209856427539e+13 6.761996345107272951e-14 1.000000000000000000e+00
1.468573197474104102e+13 6.809330319523042246e-14 1.000000000000000000e+00
1.458364644959383594e+13 6.856995631759723058e-14 1.000000000000000000e+00
1.448227055570385938e+13 6.904994601182061062e-14 1.000000000000000000e+00
1.438159936018253516e+13 6.953329563390354531e-14 1.000000000000000000e+00
1.428162796443146680e+13 7.002002870334107108e-14 1.000000000000000000e+00
1.418235150390409180e+13 7.051016890426465648e-14 1.000000000000000000e+00
1.408376514786895898e+13 7.100374008659472168e-14 1.000000000000000000e+00
1.398586409917468750e+13 7.150076626720109698e-14 1.000000000000000000e+00
1.388864359401652344e+13 7.200127163107171082e-14 1.000000000000000000e+00
1.379209890170454297e+13 7.250528053248943141e-14 1.000000000000000000e+00
1.369622532443346094e+13 7.301281749621707461e-14 1.000000000000000000e+00
1.360101819705403516e+13 7.352390721869081801e-14 1.000000000000000000e+00
1.350647288684606641e+13 7.403857456922186953e-14 1.000000000000000000e+00
1.341258479329296484e+13 7.455684459120665583e-14 1.000000000000000000e+00
1.331934934785791016e+13 7.507874250334534101e-14 1.000000000000000000e+00
1.322676201376153125e+13 7.560429370086899126e-14 1.000000000000000000e+00
1.313481828576115625e+13 7.613352375677530973e-14 1.000000000000000000e+00
1.304351368993158789e+13 7.666645842307296670e-14 1.000000000000000000e+00
1.295284378344741016e+13 7.720312363203471469e-14 1.000000000000000000e+00
1.286280415436679492e+13 7.774354549745919983e-14 1.000000000000000000e+00
1.277339042141682812e+13 7.828775031594167163e-14 1.000000000000000000e+00
1.268459823378031641e+13 7.883576456815351536e-14 1.000000000000000000e+00
1.259642327088408008e+13 7.938761492013084691e-14 1.000000000000000000e+00
1.250886124218871094e+13 7.994332822457203116e-14 1.000000000000000000e+00
1.242190788697980469e+13 8.050293152214428812e-14 1.000000000000000000e+00
1.233555897416063281e+13 8.106645204279956336e-14 1.000000000000000000e+00
1.224981030204626172e+13 8.163391720709943571e-14 1.000000000000000000e+00
1.216465769815909766e+13 8.220535462754941552e-14 1.000000000000000000e+00
1.208009701902587109e+13 8.278079210994251994e-14 1.000000000000000000e+00
1.199612414997599023e+13 8.336025765471241546e-14 1.000000000000000000e+00
1.191273500494135352e+13 8.394377945829568609e-14 1.000000000000000000e+00
1.182992552625750195e+13 8.453138591450403478e-14 1.000000000000000000e+00
1.174769168446619141e+13 8.512310561590586282e-14 1.000000000000000000e+00
1.166602947811930664e+13 8.571896735521751765e-14 1.000000000000000000e+00
1.158493493358416992e+13 8.631900012670434760e-14 1.000000000000000000e+00
1.150440410485016992e+13 8.692323312759158914e-14 1.000000000000000000e+00
1.142443307333676562e+13 8.753169575948503591e-14 1.000000000000000000e+00
1.134501794770279883e+13 8.814441762980174215e-14 1.000000000000000000e+00
1.126615486365714844e+13 8.876142855321068462e-14 1.000000000000000000e+00
1.118783998377070703e+13 8.938275855308347151e-14 1.000000000000000000e+00
1.111006949728963086e+13 9.000843786295540119e-14 1.000000000000000000e+00
1.103283961994993164e+13 9.063849692799641644e-14 1.000000000000000000e+00
1.095614659379333008e+13 9.127296640649273665e-14 1.000000000000000000e+00
1.087998668698439062e+13 9.191187717133854966e-14 1.000000000000000000e+00
1.080435619362893945e+13 9.255526031153826798e-14 1.000000000000000000e+00
1.072925143359373438e+13 9.320314713371939990e-14 1.000000000000000000e+00
1.065466875232739453e+13 9.385556916365578309e-14 1.000000000000000000e+00
1.058060452068256836e+13 9.451255814780174870e-14 1.000000000000000000e+00
1.050705513473934570e+13 9.517414605483671101e-14 1.000000000000000000e+00
1.043401701562988867e+13 9.584036507722093993e-14 1.000000000000000000e+00
1.036148660936429102e+13 9.651124763276188542e-14 1.000000000000000000e+00
1.028946038665764062e+13 9.718682636619158369e-14 1.000000000000000000e+00
1.021793484275828320e+13 9.786713415075532213e-14 1.000000000000000000e+00
1.014690649727729297e+13 9.855220408981102004e-14 1.000000000000000000e+00
1.007637189401911133e+13 9.924206951844010792e-14 1.000000000000000000e+00
1.000632760081336914e+13 9.993676400506958949e-14 1.000000000000000000e+00
9.936770209347886719e+12 1.006363213531054887e-13 1.000000000000000000e+00
9.867696335002818359e+12 1.013407756025776562e-13 1.000000000000000000e+00
9.799102616685968750e+12 1.020501610317960997e-13 1.000000000000000000e+00
9.730985716669236328e+12 1.027645121590191027e-13 1.000000000000000000e+00
9.663342320426205078e+12 1.034838637441326780e-13 1.000000000000000000e+00
9.596169136470861328e+12 1.042082507903420495e-13 1.000000000000000000e+00
9.529462896197429688e+12 1.049377085458749103e-13 1.000000000000000000e+00
9.463220353721332031e+12 1.056722725056964944e-13 1.000000000000000000e+00
9.397438285721234375e+12 1.064119784132368413e-13 1.000000000000000000e+00
9.332113491282210938e+12 1.071568622621299761e-13 1.000000000000000000e+00
9.267242791739982422e+12 1.079069602979653692e-13 1.000000000000000000e+00
9.202823030526251953e+12 1.086623090200515775e-13 1.000000000000000000e+00
9.138851073015097656e+12 1.094229451831924433e-13 1.000000000000000000e+00
9.075323806370457031e+12 1.101889057994752592e-13 1.000000000000000000e+00
9.012238139394646484e+12 1.109602281400721094e-13 1.000000000000000000e+00
8.949591002377953125e+12 1.117369497370531019e-13 1.000000000000000000e+00
8.887379346949259766e+12 1.125191083852129911e-13 1.000000000000000000e+00
8.825600145927718750e+12 1.133067421439100065e-13 1.000000000000000000e+00
8.764250393175440430e+12 1.140998893389179215e-13 1.000000000000000000e+00
8.703327103451234375e+12 1.148985885642908826e-13 1.000000000000000000e+00
8.642827312265329102e+12 1.157028786842414663e-13 1.000000000000000000e+00
8.582748075735133789e+12 1.165127988350317238e-13 1.000000000000000000e+00
8.523086470441992188e+12 1.173283884268775040e-13 1.000000000000000000e+00
8.463839593288921875e+12 1.181496871458662060e-13 1.000000000000000000e+00
8.405004561359359375e+12 1.189767349558878345e-13 1.000000000000000000e+00
8.346578511776873047e+12 1.198095721005796369e-13 1.000000000000000000e+00
8.288558601565863281e+12 1.206482391052842957e-13 1.000000000000000000e+00
8.230942007513223633e+12 1.214927767790218790e-13 1.000000000000000000e+00
8.173725926030958008e+12 1.223432262164756493e-13 1.000000000000000000e+00
8.116907573019771484e+12 1.231996287999916053e-13 1.000000000000000000e+00
8.060484183733588867e+12 1.240620262015921596e-13 1.000000000000000000e+00
8.004453012645025391e+12 1.249304603850039528e-13 1.000000000000000000e+00
7.948811333311794922e+12 1.258049736076996281e-13 1.000000000000000000e+00
7.893556438244039062e+12 1.266856084229541700e-13 1.000000000000000000e+00
7.838685638772583008e+12 1.275724076819155071e-13 1.000000000000000000e+00
7.784196264918108398e+12 1.284654145356895783e-13 1.000000000000000000e+00
7.730085665261231445e+12 1.293646724374400913e-13 1.000000000000000000e+00
7.676351206813489258e+12 1.302702251445028721e-13 1.000000000000000000e+00
7.622990274889215820e+12 1.311821167205151072e-13 1.000000000000000000e+00
7.570000272978319336e+12 1.321003915375594306e-13 1.000000000000000000e+00
7.517378622619930664e+12 1.330250942783230792e-13 1.000000000000000000e+00
7.465122763276944336e+12 1.339562699382720701e-13 1.000000000000000000e+00
7.413230152211416016e+12 1.348939638278407247e-13 1.000000000000000000e+00
7.361698264360841797e+12 1.358382215746363643e-13 1.000000000000000000e+00
7.310524592215287109e+12 1.367890891256595816e-13 1.000000000000000000e+00
7.259706645695372070e+12 1.377466127495399608e-13 1.000000000000000000e+00
7.209241952031105469e+12 1.387108390387875241e-13 1.000000000000000000e+00
7.159128055641567383e+12 1.396818149120598302e-13 1.000000000000000000e+00
7.109362518015410156e+12 1.406595876164450760e-13 1.000000000000000000e+00
7.059942917592215820e+12 1.416442047297610272e-13 1.000000000000000000e+00
7.010866849644655273e+12 1.426357141628701792e-13 1.000000000000000000e+00
6.962131926161477539e+12 1.436341641620111004e-13 1.000000000000000000e+00
6.913735775731310547e+12 1.446396033111460318e-13 1.000000000000000000e+00
6.865676043427271484e+12 1.456520805343249195e-13 1.000000000000000000e+00
6.817950390692376953e+12 1.466716450980660588e-13 1.000000000000000000e+00
6.770556495225748047e+12 1.476983466137534229e-13 1.000000000000000000e+00
