# Tk at z_eff=1.4937 (p=0.0, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.043377881430805103e-05 -6.553217255983528281e-04 -4.916081853886763477e-04 -4.916081970285768711e-04 -6.553177982870911486e-04 -4.915807556694997728e-04 -4.917116329748535573e-04 5.857554003798598474e-01 5.853676393615852014e-01
1.313534929037202208e-05 -1.038469787275708798e-03 -7.791459380893337198e-04 -7.791459673264546906e-04 -1.038459923261770028e-03 -7.791011020127466997e-04 -7.793098021218030627e-04 5.857548745456095940e-01 5.853671916971986411e-01
1.653642501444182178e-05 -1.645499230482811576e-03 -1.234861828929888997e-03 -1.234861902364436936e-03 -1.645474457515040245e-03 -1.234787345148090007e-03 -1.235121311550674414e-03 5.857540708774559013e-01 5.853665118354318686e-01
2.081812567090954053e-05 -2.607025220873662470e-03 -1.957120885247130935e-03 -1.957121069688770414e-03 -2.606963009904851580e-03 -1.956994237393152973e-03 -1.957531574041373231e-03 5.857527836448805925e-01 5.853654208442226059e-01
2.620846743303251739e-05 -4.129558236113174338e-03 -3.101819379694088687e-03 -3.101819842906116450e-03 -4.129402035497161533e-03 -3.101597057296633791e-03 -3.102468862827906498e-03 5.857507253589328000e-01 5.853636733266653902e-01
3.299450565562448486e-05 -6.539139765594225405e-03 -4.916031941776598940e-03 -4.916033105001016770e-03 -6.538747663171276710e-03 -4.915625332776848468e-03 -4.917057751917785699e-03 5.857474744541015799e-01 5.853609147113914002e-01
4.153762161945203773e-05 -1.034936259598025383e-02 -7.791333972770974996e-03 -7.791336893408901815e-03 -1.034837870300932446e-02 -7.790553277351179758e-03 -7.792950861363622667e-03 5.857423121703351221e-01 5.853565315749067466e-01
5.229276740221896000e-05 -1.636633585161698448e-02 -1.234830252827219532e-02 -1.234830985971220423e-02 -1.636386847100873218e-02 -1.234672297345213582e-02 -1.235084277852388501e-02 5.857341303334295812e-01 5.853495821496996765e-01
6.583269373569511308e-05 -2.584796528794348555e-02 -1.957041547384721220e-02 -1.957043386992830120e-02 -2.584178364669776143e-02 -1.956705255912241995e-02 -1.957438551956393671e-02 5.857211861289126631e-01 5.853385849156156340e-01
8.287845107072927249e-05 -4.073884535969034965e-02 -3.101620172715865986e-02 -3.101624785787051447e-02 -4.072338186137510613e-02 -3.100871360000878943e-02 -3.102235380514982432e-02 5.857006939926948652e-01 5.853211627949532758e-01
1.043377881430805848e-04 -6.399936978928122411e-02 -4.915531797525277830e-02 -4.915543353987333192e-02 -6.396078103786888291e-02 -4.913803145251017385e-02 -4.916471899929546197e-02 5.856682890274106379e-01 5.852935843585308495e-01
