# alphatildek at z_eff=1.4941 (FKP, NGC) 
#  k(h/Mpc) alphatildek
8.035714285714286656e-03 1.543785762645002264e-03
1.282894736842105608e-02 6.952018640999835155e-04
1.773648648648648574e-02 4.194887990824911275e-04
2.268442622950819776e-02 2.967820203930230370e-04
2.765109890109889931e-02 2.314742395341088971e-04
3.262795275590551353e-02 1.926834556025757924e-04
3.761094674556213213e-02 1.647101052109864482e-04
4.259792626728110126e-02 1.457271697804642737e-04
4.758763837638376598e-02 1.302231446899410484e-04
5.257930513595167332e-02 1.165544504106108900e-04
5.757241813602014674e-02 1.047681900460943779e-04
6.256663113006397103e-02 9.498569944483459704e-05
6.756170018281536238e-02 8.706356903471653937e-05
7.255744849445325273e-02 8.086237309073876327e-05
7.755374479889043382e-02 7.616420290398138852e-05
8.255048959608321524e-02 7.266981724977698528e-05
8.754760609357999102e-02 7.000767171140524357e-05
9.254503407984421282e-02 6.782640025305439809e-05
9.754272567922873949e-02 6.577586283081391727e-05
1.025406423473433498e-01 6.362265412386245193e-05
1.075387527036769930e-01 6.121703111226895031e-05
1.125370309414088082e-01 5.867658156803518996e-05
1.175354556427277986e-01 5.606047041509536113e-05
1.225340088839533548e-01 5.360000489374375758e-05
1.275326755509994803e-01 5.144580941349019809e-05
1.325314428096820152e-01 4.968032608205276987e-05
1.375302996914940790e-01 4.832568420596112981e-05
1.425292367665162430e-01 4.734289593115093882e-05
1.475282458828035270e-01 4.662964301975174703e-05
1.525273199570046367e-01 4.605863090683174726e-05
1.575264528048370694e-01 4.550139519305481837e-05
1.625256390028400610e-01 4.485086822684708550e-05
1.675248737748737671e-01 4.402232230004089677e-05
1.725241528983477990e-01 4.302444548020731546e-05
1.775234726262892859e-01 4.193318871375639311e-05
1.825228296222166646e-01 4.083225683774184794e-05
1.875222209054278610e-01 3.979891976023269850e-05
1.925216438048121814e-01 3.888947910211202084e-05
1.975210959196753435e-01 3.814905974014265265e-05
2.025205750863645349e-01 3.759963500857659555e-05
2.075200793497193053e-01 3.717872907360884665e-05
2.125196069385495434e-01 3.685505079261663908e-05
2.175191562444953319e-01 3.657657335622045567e-05
2.225187258037367444e-01 3.624842909716643189e-05
2.275183142811141312e-01 3.589233046725837713e-05
2.325179204562972113e-01 3.546913265683891210e-05
2.375175432117004048e-01 3.493209603790700755e-05
2.425171815218931104e-01 3.439087184674876127e-05
2.475168344442932600e-01 3.381946922858564293e-05
2.525165011109659075e-01 3.328783482301199040e-05
2.575161807213774967e-01 3.280309684117003604e-05
2.625158725359777456e-01 3.240797345353254796e-05
2.675155758705018982e-01 3.207297261468394881e-05
2.725152900908989206e-01 3.181051900375877486e-05
2.775150146088086189e-01 3.157937457689535669e-05
2.825147488775190396e-01 3.137899951808507590e-05
2.875144923883456438e-01 3.114811416401618607e-05
2.925142446673808516e-01 3.092178025088586460e-05
2.975140052725731565e-01 3.062939875399735864e-05
3.025137737910936764e-01 3.033973946083232741e-05
3.075135498369613307e-01 3.000829427596128667e-05
3.125133330488949479e-01 2.968774019165451269e-05
3.175131230883688760e-01 2.937653127007147180e-05
3.225129196378496155e-01 2.908750688754339097e-05
3.275127223991919356e-01 2.883283513282006031e-05
3.325125310921836497e-01 2.861074159757763364e-05
3.375123454532153455e-01 2.841196389041905952e-05
3.425121652340696876e-01 2.823234119594790560e-05
3.475119902008143025e-01 2.807522958041520653e-05
3.525118201327878120e-01 2.788646974826856673e-05
3.575116548216731305e-01 2.772362280388351700e-05
3.625114940706449240e-01 2.752441092349481227e-05
3.675113376935891241e-01 2.732213873904178384e-05
3.725111855143835582e-01 2.712995782004930172e-05
3.775110373662358687e-01 2.691276008299590142e-05
3.825108930910748328e-01 2.671611403603442976e-05
3.875107525389865915e-01 2.652616179252725485e-05
3.925106155676961195e-01 2.634723758263142842e-05
3.975104820420864438e-01 2.618751942282646184e-05
4.025103518337533881e-01 2.602870349974643890e-05
4.075102248205951794e-01 2.588615512485987637e-05
4.125101008864293095e-01 2.575961731262278091e-05
4.175099799206386519e-01 2.560682852592357362e-05
4.225098618178422805e-01 2.547078982489435887e-05
4.275097464775888811e-01 2.534838086388780317e-05
4.325096338040718136e-01 2.518916611499141719e-05
4.375095237058644337e-01 2.504496511034691483e-05
4.425094160956717371e-01 2.491563528995627600e-05
4.475093108901003758e-01 2.476557879253148844e-05
4.525092080094419988e-01 2.462524276919505873e-05
4.575091073774734673e-01 2.449849481670063599e-05
4.625090089212670064e-01 2.437109158821043929e-05
4.675089125710146232e-01 2.424537965284808186e-05
4.725088182598634057e-01 2.413237876186695506e-05
4.775087259237600357e-01 2.403180767795139316e-05
4.825086355013064598e-01 2.390731400586141269e-05
4.875085469336231658e-01 2.379448508099069130e-05
4.925084601642217286e-01 2.369324779560467168e-05
4.975083751388841846e-01 2.359442145006641277e-05
5.025082918055508996e-01 2.347225739972729709e-05
5.075082101142136537e-01 2.336054922181402400e-05
5.125081300168151666e-01 2.325922111488872999e-05
5.175080514671562826e-01 2.316420845845048351e-05
5.225079744208052102e-01 2.305164918722851710e-05
5.275078988350154763e-01 2.294863873591823324e-05
5.325078246686455463e-01 2.285511617617965924e-05
5.375077518820847722e-01 2.277103980728888339e-05
5.425076804371832262e-01 2.267305828598283605e-05
5.475076102971838665e-01 2.257383841922336630e-05
5.525075414266604756e-01 2.248324673100059160e-05
5.575074737914578193e-01 2.240124259398346005e-05
5.625074073586348034e-01 2.232780163084326376e-05
5.675073420964109605e-01 2.223103508887794760e-05
5.725072779741171569e-01 2.213638190883592872e-05
5.775072149621447437e-01 2.204943319960150775e-05
