# Pk at z_eff=1.4941 (FKP, NGC) 
#  k(h/Mpc) Pk
4.425094160956717371e-01 9.959606185307519866e+01
4.475093108901003758e-01 9.736725079337323052e+01
4.525092080094419988e-01 9.520143566970409665e+01
4.575091073774734673e-01 9.308337761183800296e+01
4.625090089212670064e-01 9.099947730945815749e+01
4.675089125710146232e-01 8.894922708726701899e+01
4.725088182598634057e-01 8.694251807832746692e+01
4.775087259237600357e-01 8.498892987519305109e+01
4.825086355013064598e-01 8.309648661027449634e+01
4.875085469336231658e-01 8.126908921754140636e+01
4.925084601642217286e-01 7.950948935453344291e+01
4.975083751388841846e-01 7.782020655953800770e+01
5.025082918055508996e-01 7.619965085499011082e+01
5.075082101142136537e-01 7.463792712616358926e+01
5.125081300168151666e-01 7.312459910423982024e+01
5.175080514671562826e-01 7.164980264353107486e+01
5.225079744208052102e-01 7.020662610107791579e+01
5.275078988350154763e-01 6.879505929180710666e+01
5.325078246686455463e-01 6.741616840916171327e+01
5.375077518820847722e-01 6.607094187745398983e+01
5.425076804371832262e-01 6.476026889300121070e+01
5.475076102971838665e-01 6.348470601099324995e+01
5.525075414266604756e-01 6.224460600893016959e+01
5.575074737914578193e-01 6.104028165847824994e+01
5.625074073586348034e-01 5.987201011878191537e+01
5.675073420964109605e-01 5.873970367061210851e+01
5.725072779741171569e-01 5.764118576187279075e+01
5.775072149621447437e-01 5.657357430532911025e+01
