# Coeffiencts for SGC EZmocks_realistic 
#  NOTE. Iab_r are not yet multiplied by alpha_16 
#  alpha_16  beta  I22_r  I33_r  I23_r  I13_d  I13_r  I12_d  I12_r
5.296947807073593140e-02 8.512718293498195976e-01 2.015273475646972656e+01 2.482656564097851515e-04 1.560579109191894531e+01 5.533698828125000000e+04 1.006191500000000000e+06 6.966202343750000000e+04 1.289138000000000000e+06
5.274544656276702881e-02 8.551372302713154960e-01 2.014685058593750000e+01 2.470595063641667366e-04 1.559039211273193359e+01 5.512115234375000000e+04 1.007065187500000000e+06 6.953087500000000000e+04 1.292452500000000000e+06
