# Bispectrum RIC correction for sample SGC and SN subtraction False 
#  k1_eff k2_eff k3_eff Wk_ric
8.458643687635583955e-03 9.733273207627112303e-03 1.012338142662168837e-02 -4.850237186466471034e-02
9.711518948186937533e-03 1.040772635606919579e-02 1.713393120990102866e-02 5.286354858597104925e-03
9.061943131927175168e-03 1.753829776721911940e-02 1.897374305358028382e-02 -2.424455220747592787e-02
1.710975378312780404e-02 1.846477127636731580e-02 1.946964903710885625e-02 1.984707145292924010e-02
1.042599999999999777e-02 1.042599999999999777e-02 2.516799999999999940e-02 7.210007559458392334e-02
9.820521154406269479e-03 1.930249500005554869e-02 2.662056446234393331e-02 7.359954154151531099e-03
1.758463707745426194e-02 1.927625147677498527e-02 2.772499363924041393e-02 1.048521111262141862e-02
9.064669251276243761e-03 2.722741922202234419e-02 2.869643634681614056e-02 -2.887084135933467785e-02
1.811474090657940600e-02 2.713090050885080817e-02 2.876335184251657684e-02 6.146204377062379313e-03
2.676652798031708622e-02 2.809590633602085732e-02 2.920148794961489533e-02 1.110652206034177213e-02
1.042599999999999950e-02 2.021500000000000033e-02 3.511199999999999738e-02 4.712946394823842172e-02
1.915914777722623266e-02 2.018070032079673226e-02 3.665007852073263322e-02 1.204447358499180151e-02
9.824540196827285035e-03 2.910544784726366158e-02 3.647661563296274861e-02 1.241921504683941163e-02
1.826537761251088160e-02 2.801697385783032471e-02 3.764161678815114431e-02 7.901016456699244683e-03
2.713087769483350092e-02 2.876333222778471380e-02 3.776876891475523107e-02 4.504458056956784154e-03
9.068059895915924623e-03 3.708812421294728490e-02 3.857607329474625757e-02 -2.856611514120035653e-02
1.811472851151706837e-02 3.699282902136129952e-02 3.864963375453055877e-02 5.139094914954899472e-03
2.787211798023610590e-02 3.699284537280990437e-02 3.864961348123573809e-02 -1.506323008508117772e-03
3.660803096278970187e-02 3.792575416404707356e-02 3.908650020037438000e-02 5.462881601239308500e-04
2.021500000000000033e-02 2.021500000000000033e-02 4.509300000000000114e-02 -8.353852469177004691e-03
1.042599999999999777e-02 3.012099999999999847e-02 4.509300000000000114e-02 4.470640737204158860e-02
1.935920488878801332e-02 2.916168605307901604e-02 4.635936381298902398e-02 1.239226296878328387e-02
2.728931811628075924e-02 2.903618153015970205e-02 4.754232297098928695e-02 1.473102539879727517e-03
9.825970025659751944e-03 3.904056720667000574e-02 4.642965028968559782e-02 1.757966523676265588e-02
1.826943049956095480e-02 3.791607356017102914e-02 4.758858638768534433e-02 9.514055488568359809e-03
2.787210219322681579e-02 3.776875404095710737e-02 4.772041827239565520e-02 1.650037312523480433e-03
3.699283736517672977e-02 3.864961960434056681e-02 4.772042583841679120e-02 1.446178322582391792e-03
9.067662598822766318e-03 4.702864242583293386e-02 4.851789522765533047e-02 -2.435315695766709920e-02
1.811473295155330634e-02 4.693583313380100125e-02 4.859293619957812810e-02 6.470109109660589566e-03
2.787211037754432422e-02 4.693585235732340710e-02 4.859294276592784900e-02 3.249011346943315223e-03
3.776875748972603059e-02 4.693585266098196374e-02 4.859294850574863434e-02 9.373269191926576890e-04
4.654576838981037273e-02 4.785210594875852208e-02 4.902676323547538323e-02 3.045567351804244916e-03
2.021500000000000033e-02 3.012099999999999847e-02 5.508300000000000002e-02 7.649344746570757234e-03
2.897054795071945035e-02 3.008189086300943477e-02 5.651746528091818739e-02 6.508292256373299049e-03
1.042599999999999950e-02 4.010899999999999882e-02 5.508300000000000002e-02 3.458218392157690751e-02
1.936038585867991615e-02 3.909897785667286463e-02 5.631818621991980384e-02 2.938300543725823506e-03
2.803234001169778791e-02 3.792743623000342096e-02 5.753778592287288329e-02 2.763212343243398247e-03
3.699283391529165077e-02 3.864961062461535340e-02 5.768153056106614662e-02 2.041582938495962053e-03
9.826522541100378774e-03 4.899288496023269240e-02 5.638800107786907240e-02 9.411539517002825983e-03
1.826966588046063933e-02 4.786611202440924084e-02 5.754794297313475110e-02 8.340034553489117028e-03
