# Tk at z_eff=1.2287 (p=3.0, SGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.043377881430805103e-05 -7.265872351733718799e-04 -5.450848525340143457e-04 -5.450848657262766239e-04 -7.265823708626767538e-04 -5.450314323868522002e-04 -5.451872424858672517e-04 5.803490870593114304e-01 5.800054196150715713e-01
1.313534929037202208e-05 -1.151383879002940060e-03 -8.639006642357084480e-04 -8.639006973719527390e-04 -1.151371661741845557e-03 -8.638145760549594508e-04 -8.640628433520715227e-04 5.803485510705596040e-01 5.800049608326062200e-01
1.653642501444182178e-05 -1.824370369436250326e-03 -1.369188869377152215e-03 -1.369188952604872287e-03 -1.824339686973890226e-03 -1.369048854566663189e-03 -1.369445659802725210e-03 5.803477494663176195e-01 5.800042815010371111e-01
2.081812567090954053e-05 -2.890301743495220753e-03 -2.170014441074718473e-03 -2.170014650112369377e-03 -2.890224694702579148e-03 -2.169783554638577902e-03 -2.170420808330736275e-03 5.803464448392250397e-01 5.800031706747943439e-01
2.620846743303251739e-05 -4.577981318669308887e-03 -3.439231823250496912e-03 -3.439232348228850669e-03 -4.577787872210859789e-03 -3.438843342103004800e-03 -3.439874319963015601e-03 5.803443679705874159e-01 5.800014007073508449e-01
3.299450565562448486e-05 -7.248487622392833958e-03 -5.450791838998423657e-03 -5.450793157316027177e-03 -7.248002060245679889e-03 -5.450119495592284022e-03 -5.451806232211926784e-03 5.803410850370841478e-01 5.799986038648509146e-01
4.153762161945203773e-05 -1.147020590763912253e-02 -8.638864320915057987e-03 -8.638867630895573357e-03 -1.146898764579831233e-02 -8.637656460501238337e-03 -8.640462252500145587e-03 5.803358752559811817e-01 5.799941633269570795e-01
5.229276740221896000e-05 -1.813424263786183460e-02 -1.369153015471842941e-02 -1.369153846321915884e-02 -1.813118810052898044e-02 -1.368925850841841083e-02 -1.369403820257229093e-02 5.803276213989928545e-01 5.799871259263562617e-01
6.583269373569511308e-05 -2.862862476471767642e-02 -2.169924388187893446e-02 -2.169926472855267935e-02 -2.862097441319686603e-02 -2.169474620184278293e-02 -2.170315750501974547e-02 5.803145603058381674e-01 5.799759859077902036e-01
8.287845107072927249e-05 -4.509279827135929258e-02 -3.439005725691956367e-02 -3.439010952860008241e-02 -4.507366999014714853e-02 -3.438067553802428428e-02 -3.439610652020275855e-02 5.802938877285119812e-01 5.799583407843865723e-01
1.043377881430805848e-04 -7.076800320771897690e-02 -5.450224252366536043e-02 -5.450237345566529695e-02 -7.072030556794635381e-02 -5.448171605798911299e-02 -5.451144749826855596e-02 5.802612047716866339e-01 5.799304130989236805e-01
1.313534929037203224e-04 -1.104243804455007499e-01 -8.637440369070915891e-02 -8.637473111631492617e-02 -1.103059519170590530e-01 -8.632767164628674106e-02 -8.638804329657383263e-02 5.802096136049277320e-01 5.798862517194782740e-01
1.653642501444183466e-04 -1.707348138908882651e-01 -1.368796038902858059e-01 -1.368804205656489470e-01 -1.704427617006974705e-01 -1.367699143523415650e-01 -1.368988814402416210e-01 5.801283596759023720e-01 5.798165089602962396e-01
2.081812567090955408e-04 -2.601785943072964513e-01 -2.169030450951418554e-01 -2.169050737653200056e-01 -2.594660997837813232e-01 -2.166398899144887091e-01 -2.169278949506388832e-01 5.800008478768446940e-01 5.797065933762717282e-01
2.620846743303253501e-04 -3.874286233004540780e-01 -3.436771154308435050e-01 -3.436821222851120239e-01 -3.857199640150520414e-01 -3.430364039826191425e-01 -3.437028435674056026e-01 5.798018561886812972e-01 5.795339241962497168e-01
3.299450565562450925e-04 -5.560951598490972980e-01 -5.444653892893538405e-01 -5.444776212223390033e-01 -5.521078781344620490e-01 -5.428909344505716827e-01 -5.444743778847430660e-01 5.794939481692559236e-01 5.792640368883527069e-01
4.153762161945206348e-04 -7.528426768333920105e-01 -8.623613098491210716e-01 -8.623907221088076280e-01 -7.439336563405685165e-01 -8.584727603678775631e-01 -8.623048473732924935e-01 5.790235251160816832e-01 5.788454574882778703e-01
5.229276740221899117e-04 -9.291172461748675726e-01 -1.365385511263343288e+00 -1.365454512265487308e+00 -9.105456473980784171e-01 -1.355766116579451008e+00 -1.365149821991328505e+00 5.783177703512122347e-01 5.782038427580639128e-01
6.583269373569515916e-04 -9.948283594061517743e-01 -2.160696373265079018e+00 -2.160852269668279479e+00 -9.601771516139887552e-01 -2.136937593961350856e+00 -2.160054138375761212e+00 5.772842557017439091e-01 5.772370715498449378e-01
8.287845107072932399e-04 -8.822629506657160281e-01 -3.416669085328686073e+00 -3.417002196995521324e+00 -8.280455258954328990e-01 -3.358287195439042083e+00 -3.415241446122079694e+00 5.758123019093432937e-01 5.758141337484387057e-01
1.043377881430806661e-03 -7.167024238756559695e-01 -5.396979856142101184e+00 -5.397638301611061173e+00 -6.518842892722087612e-01 -5.254895792696713031e+00 -5.394231026877633894e+00 5.737646604838463338e-01 5.737779507514922939e-01
1.313534929037204037e-03 -7.776406489199660932e-01 -8.512762103439325045e+00 -8.513946085405683206e+00 -7.229764148905436505e-01 -8.172388635055432005e+00 -8.507831361809097714e+00 5.709397602046673015e-01 5.709382330835257591e-01
1.653642501444184225e-03 -8.125207577604914855e-01 -1.340110442834199311e+01 -1.340307475670028481e+01 -7.794005160340953253e-01 -1.260507485932488159e+01 -1.339203147189360976e+01 5.670239238732879272e-01 5.670215952303770957e-01
2.081812567090956384e-03 -6.507501939875729446e-01 -2.104169744645528084e+01 -2.104500193175426404e+01 -6.421763597353928876e-01 -1.924196883639550038e+01 -2.102479599454631654e+01 5.616604909219000685e-01 5.616616465468374786e-01
2.620846743303254910e-03 -7.243886059320097104e-01 -3.292559441840514722e+01 -3.293169119413185797e+01 -6.986391399168231375e-01 -2.902863046056283380e+01 -3.289486713919427530e+01 5.544504771973158830e-01 5.544492444111200902e-01
3.299450565562452118e-03 -7.247918668510294760e-01 -5.129578811594432608e+01 -5.130765269730013500e+01 -6.919733634934513988e-01 -4.324730146898452432e+01 -5.124073047441064688e+01 5.449350923872056107e-01 5.449336009451910545e-01
4.153762161945208191e-03 -6.925521751391267022e-01 -7.947627896494660149e+01 -7.950005319253253333e+01 -6.540647484491911579e-01 -6.352922241854918184e+01 -7.937952554917112025e+01 5.326410651583401989e-01 5.326400148608020357e-01
5.229276740221901719e-03 -6.496636170745426764e-01 -1.222984483937944731e+02 -1.223488321086001918e+02 -6.683052819840546999e-01 -9.164986790208718048e+01 -1.221332743657516602e+02 5.170802313206722678e-01 5.170797914723855859e-01
6.583269373569518301e-03 -5.620555346046696155e-01 -1.866086224594693590e+02 -1.867189845082185684e+02 -5.439854033463281668e-01 -1.294938810538347980e+02 -1.863375836414752200e+02 4.977622534026840961e-01 4.977621656265150407e-01
8.287845107072935869e-03 -5.374604441480559380e-01 -2.817609147371446170e+02 -2.820090123468951333e+02 -5.224171469610445762e-01 -1.784200262403587374e+02 -2.813423860253687963e+02 4.741938257077121244e-01 4.741938075269396813e-01
1.043377881430807008e-02 -5.052191982177359764e-01 -4.198662079465784132e+02 -4.204309906624490623e+02 -4.910800156240419656e-01 -2.373424435842312334e+02 -4.192767474460919743e+02 4.458830164396760942e-01 4.458830120719314838e-01
1.313534929037204514e-02 -4.670863596531489303e-01 -6.152451332774178354e+02 -6.165295097139467089e+02 -4.540086453224552177e-01 -3.013110431156075038e+02 -6.145536413562383586e+02 4.123628448330675100e-01 4.123628430527059296e-01
1.653642501441474066e-02 -4.227016597532546327e-01 -8.821720523571578951e+02 -8.850440411006628665e+02 -4.108611801529160612e-01 -3.685261395513488196e+02 -8.817562340731001314e+02 3.733085652506274998e-01 3.733085641181027592e-01
2.081812550581494531e-02 -3.720799019380478523e-01 -1.229845969958589876e+03 -1.236034026441097922e+03 -3.616515156124243680e-01 -4.179491334703939174e+02 -1.230662271373937074e+03 3.287441811867802266e-01 3.287441803955185593e-01
2.620834159861067797e-02 -3.164775746707461646e-01 -1.655605077893741054e+03 -1.668080546369718377e+03 -3.076031204738645664e-01 -4.441457915604392497e+02 -1.659639927055551198e+03 2.797287054389807626e-01 2.797287049133671544e-01
3.297707069353843917e-02 -2.595728836884971247e-01 -2.146075047262178032e+03 -2.168531282122275570e+03 -2.522906941695942651e-01 -4.390317747452141361e+02 -2.155951096472301742e+03 2.295180540798146263e-01 2.295180537540385257e-01
4.095687481729270302e-02 -2.104797021270891355e-01 -2.681526952433138376e+03 -2.714566323493003893e+03 -2.045724748425416517e-01 -4.126233299399121393e+02 -2.697423592035036108e+03 1.861647816793535193e-01 1.861647814823847447e-01
4.769128111748335841e-02 -1.820629386236974068e-01 -3.147117170610689755e+03 -3.184461810785961006e+03 -1.769519338032024269e-01 -3.892806229825243918e+02 -3.164145511071814781e+03 1.610572978828548329e-01 1.610572977464929112e-01
5.257408315740727534e-02 -1.670221493158780823e-01 -3.512932854280541960e+03 -3.550059755372655218e+03 -1.623326561923786882e-01 -3.750768433784789977e+02 -3.527853476303886509e+03 1.477641338929221726e-01 1.477641337851370307e-01
5.659956586758269070e-02 -1.570399184893047362e-01 -3.832893294468487511e+03 -3.868199143292537883e+03 -1.526302082098784096e-01 -3.647853059646438965e+02 -3.844614287109114684e+03 1.389403742494218774e-01 1.389403741591719865e-01
6.019323165754984079e-02 -1.493435334973659268e-01 -4.127063545734205036e+03 -4.160143976540060066e+03 -1.451495791399786961e-01 -3.561085828253641239e+02 -4.135384734595790178e+03 1.321364009188164823e-01 1.321364008410533530e-01
6.354465018369143126e-02 -1.428004001999135242e-01 -4.401692879970526519e+03 -4.432808767671280293e+03 -1.387899146554369967e-01 -3.479417011224841190e+02 -4.406934489179120646e+03 1.263515198001012030e-01 1.263515197320245198e-01
6.675411010677707868e-02 -1.368501237461443309e-01 -4.657985352568725830e+03 -4.687853056579682743e+03 -1.330065272910466445e-01 -3.396132047654936059e+02 -4.660839946622627394e+03 1.210904853849835844e-01 1.210904853248481600e-01
6.988172453642764459e-02 -1.311879534108348067e-01 -4.895189844015329982e+03 -4.924857733193115564e+03 -1.275032099769297933e-01 -3.308054841308039045e+02 -4.896630455399955281e+03 1.160838878611958336e-01 1.160838878078035430e-01
7.296696933989939293e-02 -1.256461705895271230e-01 -5.111986312553408425e+03 -5.142728737484232624e+03 -1.221169405172981698e-01 -3.214396324460736309e+02 -5.113181609440472130e+03 1.111835246374962838e-01 1.111835245899589902e-01
7.603765997589209680e-02 -1.201432787353954174e-01 -5.307349774350710504e+03 -5.340557020202620151e+03 -1.167685071610120168e-01 -3.114067461830022125e+02 -5.309570251046543490e+03 1.063172450195563057e-01 1.063172449771868228e-01
7.911454529889075382e-02 -1.146568130623452086e-01 -5.481136303966119158e+03 -5.518192852707757083e+03 -1.114360684901317955e-01 -3.006970278595603645e+02 -5.485648282066450520e+03 1.014651985554813340e-01 1.014651985177205118e-01
8.221385964216429421e-02 -1.092072504701677160e-01 -5.634533720194544912e+03 -5.676685305553324724e+03 -1.061395165757301889e-01 -2.895362654629562371e+02 -5.642482287096067012e+03 9.664556914268167265e-02 9.664556910903675246e-02
8.534883475414022092e-02 -1.038460441964422359e-01 -5.770363093484403180e+03 -5.818580345661130195e+03 -1.009288559228399551e-01 -2.781499316736606033e+02 -5.782649583838111539e+03 9.190380586707340427e-02 9.190380583710647255e-02
