# Bispectrum RIC correction for sample NGC and SN subtraction False 
#  k1_eff k2_eff k3_eff Wk_ric
8.398341564699219816e-03 9.675989347270021190e-03 1.006495016666919540e-02 7.869700752620632789e-02
9.660816001471190378e-03 1.035486758812938397e-02 1.706745366152690596e-02 3.220177168723849931e-02
9.007772119436810096e-03 1.748944601386441186e-02 1.892607400560244318e-02 8.583312073727482339e-02
1.705150801613055170e-02 1.840421476683739427e-02 1.942570676309797462e-02 -5.310182247809391159e-03
1.037300000000000028e-02 1.037300000000000028e-02 2.516699999999999840e-02 -4.898857814491957424e-02
9.769466448900455957e-03 1.927894589043359364e-02 2.658851437906784715e-02 1.925594771949839731e-02
1.753799181603130086e-02 1.924126451164290957e-02 2.771166263083434111e-02 -2.621793888919285269e-03
9.010971687876262459e-03 2.721676800270491844e-02 2.868675685440364234e-02 6.965586998512261763e-02
1.807293265473559549e-02 2.711679262636211563e-02 2.875705549350546578e-02 -3.577881989479095759e-04
2.674763747754897378e-02 2.807730597274577661e-02 2.919598274312169145e-02 7.315017813376731249e-04
1.037300000000000028e-02 2.019699999999999968e-02 3.511100000000000332e-02 2.781553821402141160e-03
1.913500356436552419e-02 2.016242681516488069e-02 3.664189709052645405e-02 2.324594620022281920e-03
9.772877285543822221e-03 2.912123895628882658e-02 3.647074903253251510e-02 1.294150544975447223e-02
1.822672198381799363e-02 2.801471471023281659e-02 3.763700367554294324e-02 3.175854123943418553e-03
2.711676035383970423e-02 2.875704790598174534e-02 3.776642144568349152e-02 2.306214095755753160e-03
9.012075274429445781e-03 3.709151422881353660e-02 3.857191632274036691e-02 6.961404240178252489e-02
1.807294225032121324e-02 3.699437271235454794e-02 3.864657612089376915e-02 -7.929588156300364579e-04
2.786623562463268547e-02 3.699435452042212913e-02 3.864660570237683779e-02 3.201382126319407637e-03
3.661163047499783885e-02 3.792802131429769130e-02 3.908288250127824048e-02 2.787984801699372548e-03
2.019699999999999968e-02 2.019699999999999968e-02 4.509299999999999420e-02 -1.867414049061254244e-02
1.037300000000000028e-02 3.013699999999999712e-02 4.509300000000000114e-02 -2.830714779782352725e-02
1.932819369106517429e-02 2.917018583858475150e-02 4.634888460612580918e-02 -6.160500182187595482e-04
2.727701673116906395e-02 2.903445806522206296e-02 4.753683441137734889e-02 1.553765392925498265e-03
9.774238265697234376e-03 3.904017987234259524e-02 4.640957192072723420e-02 4.761263239000630004e-03
1.823018289924571711e-02 3.791602596736583924e-02 4.758342700741843151e-02 -5.722863030566553754e-04
2.786621561751959422e-02 3.776647999135785555e-02 4.771836661248517186e-02 5.463293457497775049e-03
3.699435683659038632e-02 3.864657759467895332e-02 4.771836190375907533e-02 2.187414277921291388e-03
9.013294123073150449e-03 4.702517105204426229e-02 4.851262417833394902e-02 7.011936107579129496e-02
1.807292522275598043e-02 4.692946564494820949e-02 4.859052737281779194e-02 -1.619431541661968703e-03
2.786622830174681487e-02 4.692947691749028982e-02 4.859057121612455482e-02 2.102233189205256723e-03
3.776646439997238813e-02 4.692947541024147101e-02 4.859055284720832646e-02 2.801181853707947027e-03
4.653700936533062410e-02 4.784310940035505638e-02 4.902446718121982600e-02 4.123532949207050699e-03
2.019699999999999968e-02 3.013700000000000059e-02 5.507799999999999502e-02 9.074249728491858361e-03
2.897141308722350761e-02 3.009607270733323167e-02 5.652618949539398724e-02 7.235810646782601073e-03
1.037300000000000201e-02 4.009599999999999970e-02 5.507800000000000196e-02 -2.492627221212018879e-02
1.933486113636370685e-02 3.909660055872501289e-02 5.631321842830692287e-02 -1.259711496383867984e-03
2.802761869719408439e-02 3.792542611328370006e-02 5.753945240450314413e-02 2.564725988205507779e-03
3.699437780055986336e-02 3.864657502525823546e-02 5.768335257959456008e-02 3.407715774888826895e-04
9.774775000470420014e-03 4.900749515951727947e-02 5.638112906783479539e-02 5.834506681182340289e-03
1.823103143468384271e-02 4.786748334003219918e-02 5.754724826620482431e-02 -2.163588622732202319e-03
2.786622894390155050e-02 4.771836383406631577e-02 5.768335810992099300e-02 1.844987059162395441e-03
3.776645954310601377e-02 4.771836707318449777e-02 5.768334785581134133e-02 2.574078407790976811e-03
4.692945603807774368e-02 4.859055517599110419e-02 5.768336469327486893e-02 -5.832472433003331761e-04
9.012572448048554799e-03 5.698453108367366321e-02 5.847100787512296560e-02 6.320291087234707061e-02
1.807293081509465937e-02 5.689091039031309721e-02 5.854952619525703728e-02 -2.162114277961329004e-03
2.786623240345638408e-02 5.689089196159881345e-02 5.854951871692279375e-02 -5.402402105023415687e-05
3.776645680021260831e-02 5.689089901918542580e-02 5.854952810412170777e-02 2.332008886987988264e-03
4.771837656328652838e-02 5.689088831616549713e-02 5.854950428419727904e-02 2.308117522441035466e-03
5.649623339234694647e-02 5.779377503475290750e-02 5.898090588246621829e-02 4.384571229889739491e-03
3.013700000000000059e-02 3.013700000000000059e-02 6.505900000000000571e-02 6.961862148535646541e-03
2.019699999999999968e-02 4.009599999999999970e-02 6.505900000000000571e-02 4.617770429897483271e-03
2.919131725795807639e-02 3.911096740258993010e-02 6.626078120357706269e-02 2.157688540244058744e-03
3.715718049369746284e-02 3.893400854725139609e-02 6.745825485089372575e-02 1.130416902715675404e-03
1.037300000000000028e-02 5.009300000000000558e-02 6.505900000000000571e-02 -3.360788974966495701e-02
1.933340078342539112e-02 4.906293838686714287e-02 6.628005554992688619e-02 -2.183722660247720999e-03
2.802895577286029435e-02 4.787732722120262990e-02 6.750493088654761775e-02 1.904854070288473922e-03
3.776645820770746509e-02 4.771836357059209416e-02 6.765120140326687237e-02 7.845893534630932458e-04
4.692948775838578362e-02 4.859055730803477080e-02 6.765120753113164354e-02 -6.601473091140129578e-04
9.775043468324437143e-03 5.896851563035509364e-02 6.634493878427427660e-02 5.684011875346444732e-03
1.823094050409425695e-02 5.783092715496899322e-02 6.751411161013425033e-02 -1.768283320268405814e-03
2.786622085063100371e-02 5.768335860321664038e-02 6.765119186219975544e-02 3.700550061155610132e-04
3.776646115584233326e-02 5.768335222359245035e-02 6.765120624464049381e-02 1.070190827241070510e-03
4.771836371206816113e-02 5.768335278651379183e-02 6.765120402324088789e-02 1.027615834750243706e-03
5.689090162343233420e-02 5.854953176252433028e-02 6.765120073483504859e-02 1.036876791228575657e-03
9.013022946157222756e-03 6.694474886557071069e-02 6.843361671529216150e-02 6.046058079762523657e-02
1.807293642313794954e-02 6.685180309967493628e-02 6.851361922650417435e-02 -1.227378541973076767e-03
2.786623186404482352e-02 6.685181535123256580e-02 6.851362208173762680e-02 -7.847212259808896513e-04
3.776646733677255230e-02 6.685180312101923761e-02 6.851360846322916698e-02 8.712846709048811854e-04
4.771836657957951450e-02 6.685180546787740374e-02 6.851362060138936616e-02 1.213839111591264201e-03
5.768334303821216064e-02 6.685180200077710244e-02 6.851362065032066961e-02 1.131827126049606913e-03
6.645326330637520151e-02 6.774563529496797909e-02 6.894357582077086100e-02 2.748633169253964035e-03
3.013700000000000059e-02 4.009599999999999970e-02 7.505300000000000860e-02 1.975783408988551412e-02
3.888997177447325176e-02 4.005342174840749447e-02 7.645749901707461771e-02 1.793347802134420774e-03
2.019699999999999968e-02 5.009299999999999864e-02 7.505299999999999472e-02 -1.993434516551153071e-02
2.919190358134882146e-02 4.908006738761425819e-02 7.624113995356579521e-02 3.141308194108621745e-03
3.793165808232015768e-02 4.788220292340825135e-02 7.748309195872016275e-02 1.686256748032065669e-03
4.692946817582795832e-02 4.859055703014088234e-02 7.763486144426497149e-02 6.953852300382680268e-04
1.037300000000000028e-02 6.006700000000000234e-02 7.505299999999998084e-02 2.788650484864058348e-03
1.933578202652998929e-02 5.902694947875414266e-02 7.625787883384381460e-02 -8.556863963002619543e-04
2.802975916873207823e-02 5.784155130968569869e-02 7.748689626396917940e-02 2.297055067765619175e-03
3.776646394375002963e-02 5.768335587954808580e-02 7.763487258935215796e-02 1.579509701411572695e-03
4.771836415744134391e-02 5.768335675103189453e-02 7.763486706143622740e-02 2.625895214096985418e-04
5.689089465803887774e-02 5.854951288383115210e-02 7.763486957457126081e-02 1.030781332958137552e-03
9.775381103274683597e-03 6.894277574613433268e-02 7.632465884886796559e-02 2.945255677776869273e-03
1.823214754076746616e-02 6.779934425408876142e-02 7.749577574117307022e-02 -2.474841613451784356e-03
2.786621940080810308e-02 6.765120286458464749e-02 7.763487205767513610e-02 1.069275403325974138e-03
3.776645950324753614e-02 6.765120672652111256e-02 7.763486456655319112e-02 2.170606589706273451e-04
4.771837079925116826e-02 6.765120243927386090e-02 7.763486877720487955e-02 7.263872319717738172e-04
5.768335628604509546e-02 6.765120182170146490e-02 7.763486977126914101e-02 2.364392873126487605e-04
6.685180461926983064e-02 6.851362097709205734e-02 7.763487460459764233e-02 -4.383898775859141695e-04
9.013437450486321001e-03 7.692208600468623814e-02 7.841310964730165145e-02 5.962834531357885659e-02
