# Tk at z_eff=1.5038 (p=0.0, SGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.043377881430805103e-05 -6.528601245845284647e-04 -4.897610894831111493e-04 -4.897611010673250977e-04 -6.528562284812398399e-04 -4.897345966684869953e-04 -4.898645701456531398e-04 5.859222236569575637e-01 5.855327938205897587e-01
1.313534929037202208e-05 -1.034569521408178509e-03 -7.762184904111661720e-04 -7.762185195084172562e-04 -1.034559735773084603e-03 -7.761751414066295034e-04 -7.763824071682632385e-04 5.859216977724954756e-01 5.855323461348325154e-01
1.653642501444182178e-05 -1.639320510833108552e-03 -1.230222142670769512e-03 -1.230222215754014480e-03 -1.639295934694661762e-03 -1.230150021211164502e-03 -1.230481709613177746e-03 5.859208942606005666e-01 5.855316664749261601e-01
2.081812567090954053e-05 -2.597239606433157048e-03 -1.949767494563214420e-03 -1.949767678122537326e-03 -2.597177889687408807e-03 -1.949644604481929949e-03 -1.950178318903420709e-03 5.859196080194103429e-01 5.855305765479041913e-01
2.620846743303251739e-05 -4.114066639850488989e-03 -3.090165078509468644e-03 -3.090165539505766636e-03 -4.113911679889331943e-03 -3.089948746303567036e-03 -3.090814781249426584e-03 5.859175504832526693e-01 5.855288298952791015e-01
3.299450565562448486e-05 -6.514631297355384133e-03 -4.897561213962572414e-03 -4.897562371623294039e-03 -6.514242308302970776e-03 -4.897164185491184769e-03 -4.898587384145613143e-03 5.859143008490651505e-01 5.855260727361339956e-01
4.153762161945203773e-05 -1.031062977879263452e-02 -7.762060080735972908e-03 -7.762062987406632281e-03 -1.030965369415543127e-02 -7.761294787232059234e-03 -7.763677570001787168e-03 5.859091405739276226e-01 5.855216919048497060e-01
5.229276740221896000e-05 -1.630522528548059014e-02 -1.230190713383826767e-02 -1.230191443022615738e-02 -1.630277747055985244e-02 -1.230035253644204234e-02 -1.230444841127922850e-02 5.859009618000887709e-01 5.855147460217806632e-01
6.583269373569511308e-05 -2.575180404714383364e-02 -1.949688523401313031e-02 -1.949690354217469695e-02 -2.574567136218966837e-02 -1.949356324798112369e-02 -1.950085709545155283e-02 5.858880225911049511e-01 5.855037545642437502e-01
8.287845107072927249e-05 -4.058816819794606318e-02 -3.089966792005593640e-02 -3.089971383043205871e-02 -4.057282691595386764e-02 -3.089224811048590577e-02 -3.090582334288935126e-02 5.858675381064832877e-01 5.854863413869541011e-01
