# Tk at z_eff=1.2244 (p=3.0, NGC) raw output of classy 
#  dict_keys(['k (h/Mpc)', 'd_g', 'd_b', 'd_cdm', 'd_ur', 'd_ncdm[0]', 'd_tot', 'phi', 'psi'])
1.043377881430805103e-05 -7.278592641520481880e-04 -5.460393945466925254e-04 -5.460394077656360434e-04 -7.278543825475265348e-04 -5.459855282563183792e-04 -5.461417637816199690e-04 5.802420222653409398e-01 5.798990758131665757e-01
1.313534929037202208e-05 -1.153399262883044590e-03 -8.654135088802023977e-04 -8.654135420834633934e-04 -1.153387002189508632e-03 -8.653267125880120640e-04 -8.655756550087905258e-04 5.802414854400824717e-01 5.798986161749565271e-01
1.653642501444182178e-05 -1.827562921513148798e-03 -1.371586565223278714e-03 -1.371586648619320522e-03 -1.827532129984875279e-03 -1.371445425563804681e-03 -1.371843302981784170e-03 5.802406844235109551e-01 5.798979373995415409e-01
2.081812567090954053e-05 -2.895357534076959619e-03 -2.173814525178170958e-03 -2.173814734638564432e-03 -2.895280211444830470e-03 -2.173581849526704142e-03 -2.174220807995426788e-03 5.802393796697098427e-01 5.798968263969358494e-01
2.620846743303251739e-05 -4.585984006655609638e-03 -3.445254530915415822e-03 -3.445255056955369606e-03 -4.585789872838396883e-03 -3.444863197851989831e-03 -3.445896891374819384e-03 5.802373025534608431e-01 5.798950561032237827e-01
3.299450565562448486e-05 -7.261145434717610966e-03 -5.460337136740722047e-03 -5.460338457723937222e-03 -7.260658147932823672e-03 -5.459660232659858253e-03 -5.461351307922170106e-03 5.802340191227499666e-01 5.798922586377944777e-01
4.153762161945203773e-05 -1.149020301964904893e-02 -8.653992472848964085e-03 -8.653995789521052098e-03 -1.148898043344267518e-02 -8.652777282044336188e-03 -8.655590037292281574e-03 5.802288086793847555e-01 5.798878172368515660e-01
5.229276740221896000e-05 -1.816577520679077407e-02 -1.371550634608892719e-02 -1.371551467138171221e-02 -1.816270983778543735e-02 -1.371322282519333614e-02 -1.371801377393221631e-02 5.802205538404316965e-01 5.798807785316281160e-01
6.583269373569511308e-05 -2.867819865441955871e-02 -2.173724279470616236e-02 -2.173726368349442398e-02 -2.867052121663455841e-02 -2.173272564998824860e-02 -2.174115534006241385e-02 5.802074911369078380e-01 5.798696363807610554e-01
8.287845107072927249e-05 -4.517036545915790319e-02 -3.445027949305278642e-02 -3.445033187026033672e-02 -4.515116962302549025e-02 -3.444086530569168830e-02 -3.445632681174935069e-02 5.801868160580649914e-01 5.798519879023326107e-01
1.043377881430805848e-04 -7.088845054485955199e-02 -5.459768336653123000e-02 -5.459781456257323251e-02 -7.084058512175291089e-02 -5.457710137671128309e-02 -5.460688467540602414e-02 5.801541292800492799e-01 5.798240549772013530e-01
1.313534929037203224e-04 -1.106091397077337141e-01 -8.652565479108104141e-02 -8.652598287585618053e-02 -1.104902972282023749e-01 -8.647882454258909446e-02 -8.653928716037127822e-02 5.801025324139706951e-01 5.797798854887254993e-01
1.653642501444183466e-04 -1.710126662647931950e-01 -1.371192896269595729e-01 -1.371201079420023838e-01 -1.707196035852183436e-01 -1.370094188413686909e-01 -1.371385522778893473e-01 5.800212702984184343e-01 5.797101303316745113e-01
2.081812567090955408e-04 -2.605830698286600855e-01 -2.172828438522169947e-01 -2.172848765780729385e-01 -2.598681502631353113e-01 -2.170193372059235626e-01 -2.173076620714775864e-01 5.798937475844615497e-01 5.796001962251304818e-01
2.620846743303253501e-04 -3.879860335179269315e-01 -3.442788634415313576e-01 -3.442838802381319452e-01 -3.862717123819969234e-01 -3.436374341096938290e-01 -3.443045235156745321e-01 5.796947434928051424e-01 5.794275004414589647e-01
3.299450565562450925e-04 -5.567925374831561580e-01 -5.454186210732068218e-01 -5.454308770401244955e-01 -5.527926182752891382e-01 -5.438426261698630082e-01 -5.454274648908994383e-01 5.793868270541794319e-01 5.791575775704945750e-01
