# Pk for p=1.6, NGC 
#  k(h/Mpc) Pk*A/Q0(0)
3.750000000000000295e-03 4.358330859375000000e+04
8.035714285714286656e-03 4.361963671875000000e+04
1.282894736842105608e-02 4.251415234375000000e+04
1.773648648648648574e-02 4.107484375000000000e+04
2.268442622950819776e-02 4.110455859375000000e+04
2.765109890109889931e-02 3.707183203125000000e+04
3.262795275590551353e-02 3.434294921875000000e+04
3.761094674556213213e-02 3.138615234375000000e+04
4.259792626728110126e-02 2.613269335937500000e+04
4.758763837638376598e-02 2.488874414062500000e+04
5.257930513595167332e-02 2.297324804687500000e+04
5.757241813602014674e-02 2.214944726562500000e+04
6.256663113006397103e-02 1.990791601562500000e+04
6.756170018281536238e-02 1.863784570312500000e+04
7.255744849445325273e-02 1.766127734375000000e+04
7.755374479889043382e-02 1.637626074218750000e+04
8.255048959608321524e-02 1.447083789062500000e+04
8.754760609357999102e-02 1.294223925781250000e+04
9.254503407984421282e-02 1.295244531250000000e+04
9.754272567922873949e-02 1.111755078125000000e+04
1.025406423473433498e-01 9.382287109375000000e+03
1.075387527036769930e-01 7.517732910156250000e+03
1.125370309414088082e-01 8.483280273437500000e+03
1.175354556427277986e-01 7.460287109375000000e+03
1.225340088839533548e-01 7.804872070312500000e+03
1.275326755509994803e-01 7.218595703125000000e+03
1.325314428096820152e-01 6.616593261718750000e+03
1.375302996914940790e-01 6.755373535156250000e+03
1.425292367665162430e-01 6.199616699218750000e+03
1.475282458828035270e-01 5.571387207031250000e+03
1.525273199570046367e-01 4.410294433593750000e+03
1.575264528048370694e-01 3.956311035156250000e+03
1.625256390028400610e-01 4.459944824218750000e+03
1.675248737748737671e-01 3.906526367187500000e+03
1.725241528983477990e-01 3.808346191406250000e+03
1.775234726262892859e-01 2.927789062500000000e+03
1.825228296222166646e-01 3.136040039062500000e+03
1.875222209054278610e-01 3.411423095703125000e+03
1.925216438048121814e-01 3.115475830078125000e+03
1.975210959196753435e-01 2.791831542968750000e+03
2.025205750863645349e-01 2.484110107421875000e+03
2.075200793497193053e-01 2.362363769531250000e+03
2.125196069385495434e-01 2.238744628906250000e+03
2.175191562444953319e-01 2.404209228515625000e+03
2.225187258037367444e-01 1.812825317382812500e+03
