# Bispectrum monopole for SGC EZmock_complete
# Subtracted SN: kindep
# k1-eff  k2-eff  k3-eff  B0  B0-BSN  Std_dev  Std_dev(-BSN)
5.785000000000000211e-03 3.511199999999999738e-02 4.509300000000000114e-02 1.596791746050187874e+10 1.036931134743423271e+10 2.033676677252874756e+10 2.033719934382840347e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.010899999999999882e-02 7.081495607739356041e+09 1.482889494671696424e+09 1.739455044930749512e+10 1.739450918763615417e+10
5.785000000000000211e-03 4.010899999999999882e-02 4.509300000000000114e-02 1.161034819482934189e+10 6.011742081761697769e+09 1.384983581468706703e+10 1.384934679538276291e+10
5.785000000000000211e-03 4.010899999999999882e-02 5.008300000000000252e-02 1.448310177324716377e+10 8.884495660179510117e+09 1.788610557683608627e+10 1.788447620836350632e+10
5.785000000000000211e-03 4.509300000000000114e-02 4.509300000000000114e-02 7.209364495161637306e+09 1.610758382093989849e+09 1.625995101682275581e+10 1.625850724227421761e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.008300000000000252e-02 1.141941117087317657e+10 5.820805057805533409e+09 1.311498045250720596e+10 1.311358056353351784e+10
5.785000000000000211e-03 4.509300000000000114e-02 5.508300000000000002e-02 1.335921181400136566e+10 7.760605700933732033e+09 1.595052143940259361e+10 1.594838596124270630e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.008300000000000252e-02 7.226028309062336922e+09 1.627422195994679213e+09 1.562946882642068672e+10 1.562800054998123741e+10
5.785000000000000211e-03 5.008300000000000252e-02 5.508300000000000002e-02 1.111197584244650078e+10 5.513369729378840446e+09 1.239961779552402115e+10 1.239864647725194550e+10
5.785000000000000211e-03 5.008300000000000252e-02 6.007599999999999746e-02 1.362431050655205917e+10 8.025704393484384537e+09 1.515501755637016487e+10 1.515625452643007660e+10
5.785000000000000211e-03 5.508300000000000002e-02 5.508300000000000002e-02 6.637071285417822838e+09 1.038465172350164652e+09 1.529459149232000732e+10 1.529437907994470787e+10
5.785000000000000211e-03 5.508300000000000002e-02 6.007599999999999746e-02 1.069669975980613518e+10 5.098093646738469124e+09 1.221185908767051315e+10 1.221136711019303894e+10
5.785000000000000211e-03 5.508300000000000002e-02 6.506599999999999884e-02 1.311634072274912262e+10 7.517734609681470871e+09 1.339302705494562721e+10 1.339247015822326469e+10
5.785000000000000211e-03 6.007599999999999746e-02 6.007599999999999746e-02 6.230597651203059196e+09 6.319915381354060173e+08 1.471895862759185982e+10 1.471788530571937561e+10
5.785000000000000211e-03 6.007599999999999746e-02 6.506599999999999884e-02 1.037877854936370850e+10 4.780172436296059608e+09 1.172573846479608917e+10 1.172454552315487289e+10
5.785000000000000211e-03 6.007599999999999746e-02 7.006400000000000128e-02 1.291947137616133499e+10 7.320865263093658447e+09 1.284326096564338112e+10 1.284140827113733673e+10
5.785000000000000211e-03 6.506599999999999884e-02 6.506599999999999884e-02 6.250928199291626930e+09 6.523220862239645720e+08 1.447292004119740868e+10 1.447189534875747871e+10
5.785000000000000211e-03 6.506599999999999884e-02 7.006400000000000128e-02 1.023139375863902473e+10 4.632787645571374893e+09 1.144459423702857208e+10 1.144343205987688828e+10
5.785000000000000211e-03 6.506599999999999884e-02 7.506100000000000272e-02 1.287818544178411102e+10 7.279579328716469765e+09 1.173504600505979729e+10 1.173358699300427246e+10
5.785000000000000211e-03 7.006400000000000128e-02 7.006400000000000128e-02 6.172949196366543770e+09 5.743430832988762856e+08 1.406964449461282539e+10 1.406832469219909286e+10
5.785000000000000211e-03 7.006400000000000128e-02 7.506100000000000272e-02 1.013866620054403496e+10 4.540060087476393700e+09 1.110383678469785881e+10 1.110310984321949959e+10
5.785000000000000211e-03 7.006400000000000128e-02 8.005600000000000216e-02 1.307814132547758865e+10 7.479535212409930229e+09 1.124218780870051384e+10 1.124186086661544991e+10
5.785000000000000211e-03 7.506100000000000272e-02 7.506100000000000272e-02 6.066286276491384506e+09 4.676801634237304330e+08 1.379822770057976723e+10 1.379741941902615356e+10
5.785000000000000211e-03 7.506100000000000272e-02 8.005600000000000216e-02 9.723267604471435547e+09 4.124661491403774261e+09 1.102691806693077087e+10 1.102574786365637207e+10
5.785000000000000211e-03 8.005600000000000216e-02 8.005600000000000216e-02 5.736766594068760872e+09 1.381604810011106133e+08 1.360265413543456459e+10 1.360175022849193764e+10
1.042599999999999950e-02 1.042599999999999950e-02 1.042599999999999950e-02 1.485722344710219002e+10 9.258617334034519196e+09 4.538846260713075256e+10 4.538870536720661926e+10
1.042599999999999950e-02 1.042599999999999950e-02 1.528299999999999971e-02 1.538311928896764374e+10 9.784513175899999619e+09 2.321279561377985001e+10 2.321318377966222382e+10
1.042599999999999950e-02 1.042599999999999950e-02 2.021500000000000033e-02 1.572464685789123344e+10 1.012604074482358170e+10 2.545144096431152725e+10 2.545086411825513077e+10
1.042599999999999950e-02 1.042599999999999950e-02 2.516799999999999940e-02 1.974055771358190536e+10 1.414195160051422501e+10 5.414702501274278259e+10 5.414657836442636871e+10
1.042599999999999950e-02 1.528299999999999971e-02 1.528299999999999971e-02 1.609283887275293922e+10 1.049423275968530846e+10 1.954283671032413864e+10 1.954329932493690491e+10
1.042599999999999950e-02 1.528299999999999971e-02 2.021500000000000033e-02 1.604521770777952957e+10 1.044661159471189308e+10 1.189441214544255447e+10 1.189315924832262039e+10
1.042599999999999950e-02 1.528299999999999971e-02 2.516799999999999940e-02 1.793542763872221756e+10 1.233682152565457916e+10 1.455926002978523445e+10 1.456074021951313019e+10
1.042599999999999950e-02 1.528299999999999971e-02 3.012099999999999847e-02 1.804746336645596313e+10 1.244885725338831711e+10 3.104134317995325851e+10 3.104166473572360229e+10
1.042599999999999950e-02 2.021500000000000033e-02 2.021500000000000033e-02 1.657436350698299599e+10 1.097575739391533852e+10 1.359269431993005371e+10 1.359122216035882187e+10
1.042599999999999950e-02 2.021500000000000033e-02 2.516799999999999940e-02 1.599676206946594620e+10 1.039815595639829636e+10 9.321747917986166000e+09 9.321693508430469513e+09
